KEY;default;dk;de
adas.dss.0_0_4.models.DASGPA.output.warning_status_interpretation.4.recommended_action;This model runs June - October. The risk of lots of 3rd instar cutwork larvae being active in the crop is high. The chart 'Instar Count' indicates that the number of larval batches forecast to survive to third instar during this period 4 or more. Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. Update parameters when any insecticide applications are made.;Denne model kører juni - oktober. Risikoen for, at mange af 3. stadie knoporme er aktive i afgrøden er høj. Diagrammet 'stadietæller' angiver, at antallet af larvepartier forventes at overleve til tredje instar i denne periode 4 eller mere. Overvåg aktivitet i marken i sårbare afgrøder, og anvend passende behandlinger efter behov. Opdater parametre, når der foretages insekticidapplikationer.;"Dieses Modell läuft von Juni bis Oktober. Das Risiko, dass Erdraupen des dritten Larvenstadiums im Bestand  aktiv sind, ist hoch. Das Diagramm ""Zähler Larvenstadium"" zeigt, dass die Anzahl der Larvenchargen, die in diesem Zeitraum voraussichtlich bis zum dritten Larvenstadium überleben, 4 oder mehr beträgt. Überwachen Sie gefährdete Bestände auf Aktivität im Feld und wenden Sie je nach Bedarf geeignete Behandlungen an. Aktualisieren Sie die Parameter, wenn Insektizidanwendungen durchgeführt werden."
adas.dss.0_0_4.models.DASGPA.purpose;Estimates the risk of cutworm larvae surviving to third instar;Estimerer risikoen for, at ormelarver overlever til tredje stadie;Abschätzung des Risikos, dass die Erdraupen bis zum dritten Larvenstadium überleben
adas.dss.0_0_4.models.HAPDMA.description;"THE PEST: Saddle gall midge (Haplodiplosis marginata) is a sporadic pest of cereals, which usually persists at low population levels. Yield loss can be caused by constricted vascular supply to the ears as a result of larval feeding and by lodging of gall-weakened stems in high winds. Pupae overwinter in the soil, from which adults emerge in the spring to lay eggs on vulnerable crops. Damage is caused by subsequent larval feeding. Once larvae have crawled under the leaf sheath,  they cannot be controlled using contact treatments (e.g. insecticides).

THE DECISION: This DSS indicates the best time to monitor crops for infestations (start of emergence). If abundance is high, and non-chemical managment options are unlikely to achieve adequate control, treatment needs to be applied before, or soon after oviposition.
THE MODEL: Cumulative emergence as a function of degree day accumulations described using a probit model. The model starts on the date of first rainfall on or after the 1st March and ends at the end of July. The model returns predicted proportion cumulative emergence, the associated risk and recommended action.
THE PARAMETERS: The model uses accumulative daily temperature (500 degree days above 0 degrees C)  
REGION: This DSS was adapted from work carried out in the UK, and is considered applicable, but not yet validated in, Belgium, Luxembourg, Netherlands, France, Germany, and Denmark.
THE PARAMETERS: The model uses Daily temperature and rainfall
ASSUMPTIONS: This DSS assumes the earliest date of emergence of saddle gall midge to be after 500 day degrees. User must interpret the reported risk against the vulnerability of the crop growth stage on farm, and undertake  in field monitoring to assess the abundance of emerging adults.   
REFERENCE: Rowley et al (2017) Crop Protection 102, 154-160. http://dx.doi.org/10.1016/j.cropro.2017.08.025";"SKADEDYRET: Sadelgalmyg (Haplodiplosis marginata) er et sporadisk skadedyr i korn, som normalt findes i små populationer. Udbyttetab kan skyldes indsnævret vaskulær tilførsel til aks, som følge af larver og svækkede stængler i kraftig vind. Pupper overvintrer i jorden, hvorfra voksne kommer ud om foråret for at lægge æg på sårbare afgrøder. Skader er forårsaget af de efterfølgende larver. Når larverne er kravlet under bladskeden, kan de ikke kontrolleres ved hjælp af kontaktbehandlinger (f.eks. Insekticider). 

BESLUTNING: Denne DSS angiver det bedste tidspunkt at overvåge afgrøder for angreb (start af fremkomst). Hvis forekomsten er høj, og det er usandsynligt, at der opnås tilstrækkelig kontrol med ikke-kemiske metoder, skal behandling anvendes før eller kort efter æglægning. 
MODELLEN: Kumulativ fremkomst som funktion af graddagsakkumuleringer beskrevet ved hjælp af en probit-model. Modellen starter på datoen for første nedbør den 1. marts eller senere og slutter i slutningen af juli. Modellen returnerer den forudsagte kumulative fremkomst, den tilknyttede risiko og anbefalede handling. 
PARAMETRE: Modellen bruger akkumulerende daglig temperatur (500 graddage over 0 grader C) 
REGION: Denne DSS er tilpasset fra arbejde udført i Storbritannien og anses for at være relevant, men endnu ikke valideret i Belgien, Luxembourg, Holland, Frankrig, Tyskland og Danmark. 
PARAMETRENE: Modellen bruger daglig temperatur og nedbør.
ANTAGELSER: Denne DSS antager, at den tidligste dato for fremkomsten af sadelgalmyg er efter 500 graddage. Brugeren skal fortolke den rapporterede risiko mod sårbarheden af afgrødevækststadiet på bedriften og foretage overvågning for at vurdere forekomsten af nye voksne. 
REFERENCE: Rowley et al (2017) Crop Protection 102, 154-160. http://dx.doi.org/10.1016/j.cropro.2017.08.025";"SCHADERREGER: Die Sattelmücke (Haplodiplosis marginata) ist ein sporadisch auftretender Getreideschädling, der in der Regel in geringen Populationen vorkommt. Ertragseinbußen können durch eine eingeschränkte Gefäßversorgung der Ähren infolge des Larvenfraßes und durch Lagerbildung von gallengeschwächten Halmen bei starkem Wind verursacht werden. Die Puppen überwintern im Boden, aus dem die adulten Tiere im Frühjahr schlüpfen, um ihre Eier in gefährdete Pflanzen zu legen. Die Schäden werden durch den anschließenden Larvenfraß verursacht. Sobald die Larven unter die Blattscheide gekrochen sind, können sie nicht mehr durch Kontaktmittel (z. B. Insektizide) bekämpft werden.

ENTSCHEIDUNG: Das EHS gibt den besten Zeitpunkt für die Überwachung der Bestände auf Befall an (Beginn des Auftretens). Wenn der Befall sehr stark ist und mit nicht-chemischen Maßnahmen keine angemessene Bekämpfung zu erreichen ist, muss die Behandlung vor oder kurz nach der Eiablage erfolgen. 
MODELL: Das kumulative Auftreten als Funktion der Gradtagsakkumulation wird anhand eines Probit-Modells 
beschrieben. Das Modell beginnt mit dem Datum des ersten Niederschlags am oder nach dem 1. März und endet Ende Juli. Das Modell liefert den vorhergesagten Anteil des kumulativen Auftretens, das damit verbundene Risiko und die empfohlenen Maßnahmen. 
PARAMETER: Das Modell verwendet die kumulative Tagestemperatur (500 Gradtage über 0 °C) 
REGION: Das EHS basiert auf Arbeiten, die im Vereinigten Königreich durchgeführt wurden und gilt als anwendbar, wurde aber z.B. noch nicht in Belgien, Luxemburg, den Niederlanden, Frankreich, Deutschland und Dänemark validiert. 
PARAMETER: Das Modell verwendet tägliche Temperatur- und Niederschlagsmengen 
ANNAHMEN: Das EHS geht von einem frühesten Zeitpunkt des Auftretens der Sattelmücke nach 500 Gradtagen aus. Der Anwender muss das gemeldete Risiko im Hinblick auf die Anfälligkeit des Wachstumsstadiums der Kultur im Betrieb interpretieren und eine Feldüberwachung durchführen, um die Häufigkeit des Auftretens der adulten Tiere zu beurteilen.   
 REFERENZ: Rowley et al (2017) Crop Protection 102, 154-160. http://dx.doi.org/10.1016/j.cropro.2017.08.025"
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.modelId.description;Must be HAPDMA;Skal være HAPDMA;Muss HAPDMA sein
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.degree_day.title;Degree Days;Graddage;Gradtage
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.dry_day.title;Dry Day Threshold;Tørkedage tærskel;Schwellenwert für trockene Tage
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.rain_threshold.title;Rainfall Threshold;Regntærskel;Schwellenwert für Niederschlag
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date/Biofix (YYYY-MM-DD);Model Startdato/Biofix (ÅÅÅÅ-MM-DD);Modell Startdatum/Biofix (JJJJ-MM-TT)
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.temp_threshold.title;Temperature Threshold;Temperaturtærskel;Temperatur-Schwellenwert
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für den EHS
adas.dss.0_0_4.models.HAPDMA.name;Saddle Gall Midge Model;Sadelgalmyg Model;Sattelmücken-Modell
adas.dss.0_0_4.models.HAPDMA.output.chart_groups.G1.title;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage
adas.dss.0_0_4.models.HAPDMA.output.chart_heading;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.Cumulative_DayDegrees.description;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.Cumulative_DayDegrees.title;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.FirstThreshold.description;Estimated 50% emergence complete;50% estimeret fremkomst;Geschätzte 50% des Aufkommens abgeschlossen
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.FirstThreshold.title;Estimated 50% emergence complete;50% estimeret fremkomst;Geschätzte 50% des Aufkommens abgeschlossen
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.SecondThreshold.description;Estimated 90% emergence complete;90% estimeret fremkomst;Geschätzte 90% des Aufkommens abgeschlossen
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.SecondThreshold.title;Estimated 90% emergence complete;90% estimeret fremkomst;Geschätzte 90% des Aufkommens abgeschlossen
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.StartOfEmergenceThreshold.description;Estimated start of emergence;Estimeret start for fremkomst;Geschätzter Beginn des Auftretens
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.StartOfEmergenceThreshold.title;Estimated start of emergence;Estimeret start for fremkomst;Geschätzter Beginn des Auftretens
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.ThirdThreshold.description;Estimated end of emergence;Estimeret sluttidspunkt for fremkomst;Geschätztes Ende des Auftretens
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.ThirdThreshold.title;Estimated end of emergence;Estimeret sluttidspunkt for fremkomst;Geschätztes Ende des Auftretens
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.0.explanation;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.0.recommended_action;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data.;Fehlende Daten.
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.2.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate low current risk of saddle gall midge emergence.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne lav aktuel risiko for fremkomst af sadelgalmyg.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass das Risiko des Auftretens der Sattelmücke derzeit gering ist.
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.2.recommended_action;This model runs January - May, requiring data from the start of January. The risk of emergence of saddle gall midge is currently low.  Emergence begins once 500 day degrees is exceeded, and ends after 1500 day degrees. The 'Emergence' chart indicates that emergence is either unlikely to have started, or is likely to be completed. ;"Denne model kører januar - maj og kræver data fra starten af januar. Risikoen for fremkomst af sadelgalmyg er i øjeblikket lav. Fremkomsten begynder, når 500 graddage er overskredet, og slutter efter 1500 graddage. Diagrammet ""Fremkomst"" angiver, at det enten er usandsynligt, at fremkomsten er startet eller sandsynligvis vil blive afsluttet.";"Dieses Modell läuft von Januar bis Mai und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Sattelmücke ist derzeit gering.  Das Auftreten beginnt, sobald 500 Gradtage überschritten sind, und endet nach 1500 Gradtagen. Das Diagramm ""Auftreten"" zeigt an, dass das Auftreten entweder noch nicht begonnen hat oder wahrscheinlich abgeschlossen ist. "
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.3.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate medium current risk of first saddle gall midge emergence.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne en middel risiko for fremkomst af første sadelgalmyg.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse auf ein mittleres Risiko des Auftretens der ersten Sattelmücke hin.
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.3.recommended_action;This model runs January - May, requiring data from the start of January. The risk of emergence of saddle gall midge is currently medium.  The 'Emergence' chart indicates that more than 50% of saddle gall midge are now likely to have emerged, and 90% emergence is likely once 1024 day degrees have accumulated. Adult saddle gall midge are likely to be active in crops where they are present. Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. Any applications must be applied before larvae move under the leaf in order to have an effect.;Denne model kører januar - maj og kræver data fra starten af januar. Risikoen for fremkomst af sadelgalmyg er i øjeblikket medium. 'Fremkomst' diagrammet indikerer, at mere end 50% af sadelgalmyg nu sandsynligvis er dukket op, og 90% fremkomst er sandsynligt, når 1024 graddage er akkumuleret. Voksne sadelgalmyg vil sandsynligvis være aktive i afgrøder, hvor de er til stede. Overvåg aktivitet i marken i sårbare afgrøder, og anvend passende behandlinger efter behov. Eventuelle anvendelser skal udføres, før larver bevæger sig under bladet for at have en effekt.;"Dieses Modell läuft von Januar bis Mai und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Sattelmücke ist derzeit mittelhoch.  Das Diagramm ""Auftreten"" zeigt, dass mehr als 50 % der Sattelmücken jetzt wahrscheinlich aufgetaucht sind, und 90 % des Auftretens sind wahrscheinlich, wenn 1024 Gradtage erreicht sind. Adulte Sattelmücken sind in den Beständen, in denen sie vorkommen, wahrscheinlich aktiv. Überwachen Sie gefährdete Bestände auf Aktivität im Feld und wenden Sie je nach Bedarf geeignete Behandlungen an. Die Anwendungen müssen erfolgen, bevor sich die Larven unter dem Blatt verbergen, um eine Wirkung zu erzielen."
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.4.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate that emergence of saddle gall midge has started.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne, at fremkomsten af sadelgalmyg er startet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass das Auftreten der Sattelmücke begonnen hat.
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.4.recommended_action;This model runs January - May, requiring data from the start of January. The risk of emergence of saddle gall midge is currently high.  Emergence begins once 500 day degrees is exceeded, and 50% of emergence is forecast up by 750 day degrees.  The 'Emergence' chart indicates that emergence is likely to have begun, and adult saddle gall midge are currently emerging. Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. Any applications must be applied before larvae move under the leaf  in order to have an effect.;Denne model kører januar - maj og kræver data fra starten af januar. Risikoen for fremkomst af sadelgalmyg er i øjeblikket høj. Fremkomsten begynder, når 500 graddage er overskredet, og 50% af fremkomsten forventes med 750 graddage. 'Fremkomst'-diagrammet indikerer, at fremkomsten sandsynligvis er begyndt, og voksne sadelgalmyg  i øjeblikket er ved at dukke op. Overvåg aktivitet i sårbare afgrøder i marken, og anvend passende behandlinger efter behov. Eventuelle anvendelser skal påføres, før larver bevæger sig under bladet for at have en effekt.;"Dieses Modell läuft von Januar bis Mai und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Sattelmücke ist derzeit hoch.  Das Auftreten beginnt, sobald 500 Gradtage überschritten werden, und 50 % des Auftretens werden bis zu 750 Gradtagen vorhergesagt.  Das Diagramm ""Auftreten"" zeigt an, dass das Auftreten wahrscheinlich begonnen hat und mit adulten Sattelmücken derzeit zu rechnen ist. Überwachen Sie gefährdete Bestände auf Aktivität im Feld und wenden Sie je nach Bedarf geeignete Behandlungen an. Alle Anwendungen müssen durchgeführt werden, bevor sich die Larven unter dem Blatt verbergen, um ihre Wirkung zu entfalten."
adas.dss.0_0_4.models.HAPDMA.purpose;Estimates the risk of emergence of adult saddle gall midge.;Estimerer risikoen for fremkomst af voksne sadelgalmyg.;Schätzt des Risiko des Auftretens adulter Sattelmücken.
adas.dss.0_0_4.models.MELIAE.description;"THE PEST: Pollen beetle (Meligethes spp.) adults are approximately 2.5 mm, metallic greenish-black. Females bite oilseed rape buds and lay their eggs inside. Adults and larvae attack buds and flowers, resulting in withered buds and reduced pod set. In oilseed rape, adult and larval feeding can lead to bud abortion and reduced pod set. However, damage rarely results in reduced yields for winter crops. Spring crops are more vulnerable, as the susceptible green/yellow bud stage often coincides with beetle migration.  

THE DECISION: Oilseed rape is only vulnerable if large numbers of pollen beetle migrate into the crop during green bud stage. This DSS predicts migration into crops based on air temperature, and so can be used to evaluate risk to crop.
THE MODEL: Daily maximum air temperature is used to predict Migration Risk. The default value of 15 degrees celsius is used, as that is the temperature advised in the UK at which pollen beetles will fly.   
THE PARAMETERS: The model uses Daily maximum air temperature  
REGION: This DSS was adapted from work carried out in the UK, and is considered applicable, but not yet validated in, Belgium, Luxembourg, Netherlands, France, Germany, Rep. Ireland, and Denmark.
ASSUMPTIONS: Only to be used during Oilseed rape growth stages 51-59. This model is a simplification of a more detailed model described in the paper below. 
REFERENCE: Ferguson et al. (2015) Pest Management Science 72, 609-317. https://doi.org/10.1002/ps.4069";"SKADEDYRET: Glimmerbøsse (Meligethes spp.) voksne er ca. 2,5 mm, metallisk grønlig-sorte. Hunner bidr i oliefrø i rapsknopper og lægger deres æg indeni. Voksne og larver angriber knopper og blomster, hvilket resulterer i visne knopper. I raps kan skader fra voksne og larver føre til tab af knopper. Skader resulterer dog sjældent i reduceret udbytte for vinterafgrøder. Vårafgrøder er mere sårbare, da det modtagelige grøn/gule knopstadie ofte falder sammen med billernes migration. 
BESLUTNING: Raps er kun sårbar, hvis et stort antal biller vandrer ind i afgrøden under det grønne knopstadie. Denne DSS forudsiger migration til afgrøder baseret på lufttemperatur og kan derfor bruges til at evaluere risiko for afgrøden. 
MODELLEN: Daglig maksimal lufttemperatur bruges til at forudsige migrationsrisiko. Standardværdien på 15 grader celsius bruges, da det er den temperatur, der anbefales i Storbritannien, hvor glimmerbøsser vil flyve. 
PARAMETRE: Modellen bruger daglig maksimal lufttemperatur 
REGION: Denne DSS er tilpasset fra arbejde udført i Storbritannien og anses for at være relevant, men endnu ikke valideret i Belgien, Luxembourg, Holland, Frankrig, Tyskland, Irland og Danmark. 
ANTAGELSER: Må kun anvendes i rapsvækststadie 51-59. Denne model er en forenkling af en mere detaljeret model beskrevet i nedenstående artikel. 
REFERENCE: Ferguson et al. (2015) Pest Management Science 72, 609-317. https://doi.org/10.1002/ps.4069";"SCHADERREGER: Adulte Rapsglanzkäfer (Meligethes spp.) sind etwa 2,5 mm groß und metallisch grün-schwarz. Die Weibchen stechen Rapsknospen an und legen ihre Eier darin ab. Adulte und Larven befallen Knospen und Blüten, was zu verkümmerten Knospen und reduziertem Schotenansatz führt. Bei Raps kann der Fraß der adulten Tiere und der Larven zum Absterben der Knospen und zu einem verminderten Schotenansatz führen. In Winterungen führen die Schäden jedoch nur selten zu Ertragseinbußen. Sommerungen sind anfälliger, da das anfällige grün-gelbe Knospenstadium oft mit der Käferwanderung zusammenfällt.  

ENTSCHEIDUNG: Raps ist nur dann anfällig, wenn eine große Anzahl von Rapsglanzkäfern während des Knospenstadiums in den Bestand zufliegt. Das EHS sagt die Einwanderung in die Bestände auf der Grundlage der Lufttemperatur voraus und kann daher zur Bewertung des Risikos für die Bestände verwendet werden.
MODELL: Die tägliche maximale Lufttemperatur wird zur Vorhersage des Zuflugrisikos verwendet. Der Standardwert der Temperatur von 15 °C wird für den Rapsganzkäferflug verwendet, entsprechend  Empfehlungen aus dem Vereinigten Königreich.    
PARAMETER: Das Modell verwendet die tägliche maximale Lufttemperatur 
REGION: Das EHS basiert auf Arbeiten, die im Vereinigten Königreich durchgeführt wurden und gilt als anwendbar, wurde aber z.B. noch nicht in Belgien, Luxemburg, den Niederlanden, Frankreich, Deutschland, der Republik Irland und Dänemark validiert.
ANNAHMEN: Nur während der Wachstumsstadien 51-59 des Rapses zu verwenden. Das Modell ist eine Vereinfachung eines detaillierteren Modells, das in der nachstehenden Veröffentlichung beschrieben wird. 
REFERENZ: Ferguson et al. (2015) Pest Management Science 72, 609-317. https://doi.org/10.1002/ps.4069"
adas.dss.0_0_4.models.MELIAE.execution.input_schema.properties.growthStage.description;Input current crop growth stage, using the BBCH System. Only crops at growth stage 51-59 (Inflorescence/flower-bud emergence) are vulnerable to damage by pollen beetle;Indtast det aktuelle afgrødevækststadie ved hjælp af BBCH-systemet. Kun afgrøder i vækststadie 51-59 (Blomsterstand/blomsterknop fremkomst) er sårbare over for skader fra glimmerbøsser.;Geben Sie das aktuelle Wachstumsstadium des Bestandes unter Verwendung des BBCH-Systems ein. Nur Bestände im Wachstumsstadium 51-59 (Auflaufen der Blütenstände/Blütenknospen) sind anfällig für Schäden durch Rapsglanzkäfer
adas.dss.0_0_4.models.MELIAE.execution.input_schema.properties.modelId.description;Must be MELIAE;Skal være MELIAE;Das muss MELIAE sein
adas.dss.0_0_4.models.MELIAE.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID
adas.dss.0_0_4.models.MELIAE.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.MELIAE.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date (YYYY-MM-DD);Model Startdato (ÅÅÅÅ-MM-DD);Modell Startdatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.MELIAE.execution.input_schema.properties.optionalData.properties.temp_threshold.title;Temperature Threshold;Temperaturtærskel;Temperatur-Schwellenwert
adas.dss.0_0_4.models.MELIAE.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für den EHS
adas.dss.0_0_4.models.MELIAE.name;Pollen Beetle Model;Glimmerbøssemodellen;Rapsglanzkäfer-Modell
adas.dss.0_0_4.models.MELIAE.output.chart_groups.G1.title;Migration Threshold;Migrationstærskel;Schwellenwert für den Zuflug
adas.dss.0_0_4.models.MELIAE.output.chart_heading;Pollen Bettle Migration;Glimmerbøsse migration;Rapsglanzkäfer-Zuflug
adas.dss.0_0_4.models.MELIAE.output.result_parameters.Temperature.description;Maximum daily temperature;Maksimal dagtemperatur;Maximale Tagestemperatur
adas.dss.0_0_4.models.MELIAE.output.result_parameters.Temperature.title;Maximum daily temperature;Maksimal dagtemperatur;Maximale Tagestemperatur
adas.dss.0_0_4.models.MELIAE.output.result_parameters.Threshold.description;Temperature threshold for migration;Temperaturtærskel for migration;Temperaturschwelle für den Flug
adas.dss.0_0_4.models.MELIAE.output.result_parameters.Threshold.title;Temperature threshold;Temperaturtærskel;Temperaturschwelle
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.0.explanation;;;
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.0.recommended_action;;;
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data;Fehlende Daten.
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.2.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate no current risk of pest activity.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne ingen aktuel risiko for skadedyrsaktivitet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass derzeit kein Risiko einer Schädlingsaktivität besteht.
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.2.recommended_action;This model runs March-April. The 'Risk status' chart indicates the daily risk of migration during this period. When air temperature is less than 15 *C, migration is unlikely. The model currently predicts a low risk of migration into crops.  Only crops at growth stage 51 – 59 are vulnerable to damage, update model parameter to indicate current crop growth stage. ;"Denne model kører marts-april. Diagrammet ""Risikostatus"" angiver den daglige risiko for migration i denne periode. Når lufttemperaturen er mindre end 15 * C, er migration usandsynlig. Modellen forudsiger i øjeblikket en lav risiko for migration til afgrøder. Kun afgrøder i vækststadie 51 - 59 er sårbare over for skader, opdater modelparameter for at angive det aktuelle afgrødevækststadium.";"Dieses Modell läuft von März bis April. Das Diagramm ""Risikostatus"" zeigt das tägliche Risiko des Zufluges während dieses Zeitraums an. Wenn die Lufttemperatur weniger als 15 °C beträgt, ist ein Zuflug  unwahrscheinlich. Das Modell sagt derzeit ein geringes Risiko des Zufluges in die Bestände voraus.  Nur Pflanzen im Wachstumsstadium 51 - 59 sind anfällig für Schäden. Aktualisieren Sie die Modellparameter, um das aktuelle Wachstumsstadium der Pflanzen anzuzeigen. "
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.3.explanation;;;
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.3.recommended_action;;;
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.4.explanation;Red Warning indicates that the maximum temperature is higher than threshold at which pollen beetles fly at air temperatures to crops.;Rød advarsel indikerer, at den maksimale temperatur er højere end tærsklen, hvor glimmerbøsser flyver i afgrøder.;Eine rote Warnung zeigt an, dass die Höchsttemperatur der Luft über dem Schwellenwert liegt, bei dem Rapsglanzkäfer zufliegen.
adas.dss.0_0_4.models.MELIAE.output.warning_status_interpretation.4.recommended_action;This model runs March-April. The 'Risk status' chart indicates the daily risk of migration during this period. When air temperature is greater than 15 *C, migration is likely. The model currently predicts a high risk of migration into crops.  Only crops at growth stage 51 – 59 are vulnerable to damage, update model parameter to indicate current crop growth stage. ;"Denne model kører marts-april. Diagrammet ""Risikostatus"" angiver den daglige risiko for migration i denne periode. Når lufttemperaturen er større end 15 * C, er migration sandsynlig. Modellen forudsiger i øjeblikket en høj risiko for migration til afgrøder. Kun afgrøder i vækststadie 51 - 59 er sårbare over for skader, opdater modelparameter for at angive det aktuelle afgrødevækststadium.";"Dieses Modell läuft von März bis April. Das Diagramm ""Risikostatus"" zeigt das tägliche Risiko des Zufluges in diesem Zeitraum an. Wenn die Lufttemperatur mehr als 15 °C beträgt, ist ein Zuflug wahrscheinlich. Das Modell sagt derzeit ein hohes Risiko des Zufluges in die Bestände voraus.  Nur Bestände im Wachstumsstadium 51 - 59 sind anfällig für Schäden. Aktualisieren Sie die Modellparameter, um das aktuelle Wachstumsstadium der Bestände anzuzeigen. "
adas.dss.0_0_4.models.MELIAE.purpose;Estimates the risk of pollen beetle migration;Vurderer risikoen for glimmerbøssemigration;Schätzt das Risiko des Zufluges von Rapsglanzkäfern
