KEY;default;de;sl;nl;dk;se;gr;no;fr;fi;lt;it;pl;es;pt
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.4.explanation;Based on weather data and current estimates of crop growth stages and septoria spray dates, the risk of septoria is high. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March-June. ;"Auf der Grundlage von Wetterdaten und aktuellen Schätzungen der Entwicklungsstadien der Pflanzen und der Septoria-Behandlungstermine ist das Septoria-Risiko hoch. Gehen Sie zu ""Parameter bearbeiten"", um Entwicklungsstadien und Behandlungstermine zu überprüfen und zu aktualisieren. Dieses Modell läuft von März bis Juni.";"Glede na vremenske podatke in trenutne ocene razvojnih faz pridelka ter datume škropljenja proti septoriji je tveganje za razvoj bolezni veliko. V razdelku ""Parametri modela"" preverite in posodobite datume razvojnih faz in datume škropljenja. Ta model deluje od marca do junija.  ";Op basis van de weersgegevens en de huidige schattingen van de groeistadia van het gewas en de uitgevoerde bespuitingen tegen septoria is het risico op septoria hoog. Ga naar 'Wijzig parameters' om de groeistadia en spuitdata te controleren en bij te werken. Dit model loopt van maart tot juni. ;Baseret på aktuelle indtastede observationer og vejrdata er risikoen for septoria høj.;"Baserat på aktuella observationer och väderdata är risken för svartpricksjuka hög. Gå till ""Redigera parametrar"" för att kontrollera och uppdatera datum för tillväxtstadier och fungicidbehandling. Den här modellen körs mars-juni.  ";"Με βάση τα καιρικά δεδομένα και τις τρέχουσες εκτιμήσεις για τα στάδια ανάπτυξης της καλλιέργειας και τις ημερομηνίες ψεκασμού για τη σεπτόρια, ο κίνδυνος είναι υψηλός. Μεταβείτε στην ενότητα ""Επεξεργασία παραμέτρων"" για να ελέγξετε και να ενημερώσετε τα στάδια ανάπτυξης και τις ημερομηνίες ψεκασμού. Αυτό το μοντέλο λειτουργεί από τον Μάρτιο έως τον Ιούνιο.";Basert på aktuelle inntastede observasjoner og værdata er risikoen for septoria høy.;"D'après les données météorologiques et les estimations actuelles des stades de développement des cultures et des dates de pulvérisation de la septoriose, le risque de septoriose est élevé. Allez sur ""Edit parameters"" pour vérifier et mettre à jour les stades de développement et les dates de pulvérisation. Ce modèle fonctionne de mars à juin. ";;;"In base ai dati meteorologici e alle stime attuali delle fasi di crescita delle colture e delle date di irrorazione della septoriosi, il rischio di septoriosi è elevato. Andare su ""Modifica parametri"" per controllare e aggiornare le fasi di crescita e le date di irrorazione. Questo modello funziona da marzo a giugno. ";;;
dk.seges.1_1.models.SEPTORIAHU.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against septoria in the last ten days, treat according to need. Choice of fungicides depends on the general disease risk. Apart from effectiveness on septoria the product should also account for other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season  ;Wurde der Bestand in den letzten zehn Tagen nicht gegen Septoria behandelt, ist eine Behandlung je nach Bedarf durchzuführen. Die Wahl der Fungizide richtet sich nach dem allgemeinen Krankheitsrisiko. Neben der Wirksamkeit gegen Septoria sollte das Produkt auch für andere Krankheiten geeignet sein. Prüfen Sie weiterhin, ob das Risiko aktualisiert wurde, und überwachen Sie die Bestände. Aktualisieren Sie das Entwicklungsstadium der Pflanzen und das Datum der Fungizidanwendungen während der Saison.;Če posevek v zadnjih desetih dneh ni bil tretiran proti pšenični listni pegavosti, tretirajte po potrebi. Izbira fungicidov je odvisna od splošne nevarnosti bolezni. Poleg učinkovitosti proti pšenični listni pegavosti mora pripravek upoštevati tudi morebitno tveganje zaradi drugih bolezni.  Še naprej preverjajte posodobitve tveganja in spremljajte posevke. V sezoni posodabljajte fenofaze posevka in datum uporabe fungicidov.;Als het gewas de laatste tien dagen niet tegen septoria is behandeld, behandel dan naar behoefte. De keuze van de fungiciden hangt af van het algemene ziekterisico. Naast de effectiviteit tegen septoria moet het product ook rekening houden met andere ziekten. Blijf controleren op updates van het risico en monitor de gewassen. Werk het groeistadium van het gewas en de datum van fungicidengebruik gedurende het seizoen bij.  ;Hvis afgrøden ikke er blevet behandlet mod septoria i de sidste ti dage, skal du behandle efter behov. Valg af fungicider afhænger af den generelle sygdomsrisiko. Bortset fra effektiviteten på septoria bør produktet også tage højde for andre risikofaktorer/sygdomme. Denne model kører marts-juni. Fortsæt med at kontrollere, om der er risikoopdateringer, og overvåg afgrøder. Opdater afgrødevækststadiet og datoen for fungicidapplikationer gennem sæsonen;Bbehandla efter behov om grödan inte har behandlats mot svartpricksjuka under de senaste tio dagarna. Val av fungicider beror på den allmänna sjukdomsrisken. Förutom effektiviteten mot svartpricksjuka bör produkten också ta hänsyn till andra sjukdomar. Fortsätt att kontrollera riskuppdateringar och övervaka grödan. Uppdatera grödans tillväxtstadium och datum för fungicidbehandlingar under säsongen;Εάν η καλλιέργεια δεν έχει αντιμετωπιστεί κατά της σεπτόριας τις τελευταίες δέκα ημέρες, κάντε την κατάλληλη επέμβαση ανάλογα με τις ανάγκες. Η επιλογή των μυκητοκτόνων εξαρτάται από τον γενικό κίνδυνο ασθένειας. Εκτός από την αποτελεσματικότητα κατά της σεπτόριας, το προϊόν πρέπει να λαμβάνει υπόψη και άλλες ασθένειες. Συνεχίστε να ελέγχετε τις επικαιροποιήσεις κινδύνου και να παρακολουθείτε τις καλλιέργειες. Ενημερώστε το στάδιο ανάπτυξης της καλλιέργειας και την ημερομηνία των εφαρμογών μυκητοκτόνων κατά τη διάρκεια της περιόδου.;Hvis kulturen ikke har blitt behandlet mot septoria i de siste 10 dager skal du behandle etter behov. Valg av fungicid avhenger af den generelle sjukdomsrisiko. Bortsett fra effektiviteten mot septoria bør produktet også ta høyde for andre risikofaktorer/sjukdommer. Denne modellen kjøres mars-juni. Fortsett med å kontrollere om det er risikoopdateringer, og overvåk kulturen. Oppdater vekststadiet for kulturen og datoen for fungicidapplikation gjennom sesongen;Si la culture n'a pas été traitée contre la septoriose au cours des dix derniers jours, traitez en fonction des besoins. Le choix des fongicides dépend du risque général de maladie. Outre l'efficacité contre la septoriose, le produit doit également tenir compte des autres maladies. Continuez à vérifier les mises à jour des risques et à surveiller les cultures. Actualisez le stade de développement de la culture et la date des applications de fongicides tout au long de la saison.  ;;;Se la coltura non è stata trattata contro la septoriosi negli ultimi dieci giorni, trattare secondo le necessità. La scelta dei fungicidi dipende dal rischio generale di malattia. Oltre all'efficacia sulla septoriosi, il prodotto deve tenere conto anche di altri fattori di rischio/malattie. Continuare a controllare gli aggiornamenti sul rischio e monitorare le colture. Aggiornare lo stadio di crescita delle colture e la data di applicazione dei fungicidi nel corso della stagione.;;;
dk.seges.1_1.models.SEPTORIAHU.purpose;Estimates risk of septoria;Schätzt das Septoria-Risiko;Ocenjuje tveganje za pojav škode zaradi pšenične listne pegavosti;Schat het risico op septoria in;Estimerer risikoen for septoria;Uppskattar risken för svartpricksjuka;Εκτιμά τον κίνδυνο σεπτορίωσης;Estimerer risikoen for septoria;Estimation du risque de septoriose;;;Stima del rischio di septoriosi;;;
dk.seges.1_1.models.CPO_HORVX_1APHIF.description;"
THE PEST: Aphids (Sitobian avenae, Rhopalosiphum padi) in barley  
THE DECISION: Insecticides may need to be applied between start of elongation  (GS 31)  and grain filling  (GS 73), to protect from yield losses caused by aphids.  
THE MODEL: The CPO aphid model is recommending treatments in barley when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of infected main stems.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended an insecticide known to be effective against aphids should be chosen.  When running the aphid model, the risk for yield losses from other pest and diseases is not considered.   If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk.  
THE PARAMETERS  To obtain accurate risk predictions it is essential to click on the 'Edit parameters' button and enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of aphids attacked main stems, based on scouting the crop. "
dk.seges.1_1.models.CPO_HORVX_1APHIF.execution.input_schema.properties.CropId.title;Barley (Spring barley)
dk.seges.1_1.models.CPO_HORVX_1APHIF.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_HORVX_1APHIF.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_HORVX_1APHIF.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to aphids
dk.seges.1_1.models.CPO_HORVX_1APHIF.name;CPO model for aphids in Barley
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.chart_heading;
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with aphids, crop growth stages and spray dates, the risk of aphids is low.  Go to 'Edit parameters' to check and update aphid observations, growth stages and spray dates. This model runs March to July.  
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of insecticides applications through the season
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.3.explanation;
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.3.recommended_action;
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with aphids, crop growth stages and previous spray dates, the risk of aphids is high. Go to 'Edit  parameters' to check and update growth stages and spray dates. This model runs March to July. 
dk.seges.1_1.models.CPO_HORVX_1APHIF.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against aphids in the last ten days, treat according to need. Continue to check for risk updates and monitor crops. Update crop growth stage and date of insecticide applications through the season  
dk.seges.1_1.models.CPO_HORVX_1APHIF.purpose;Predicts the need for treatment against aphids in barley
dk.seges.1_1.models.CPO_HORVX_ERYSGR.description;"THE PEST: powdery mildew (Blumeria graminis) can attack barley. 
THE DECISION: Fungicide treatments may need to be applied between early tillering (GS 26)  and full flowering (GS 65), to protect leaves from powdery mildew and yield losses. 
THE MODEL: The CPO powdery mildew model is recommending treatments in barley when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of plants attacked.  The disease observation is the percentage of plants showing any infection.  For example, if 25 plants out of 100 show even a very small amount of disease and the remaining 80 plants are completely healthy, then the observation is 25%. In susceptible cultivars treatments are recommended at lower incidence levels than in resistant cultivars.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended, specific fungicides known to be effective against this disease should be chosen.  When running the powdery mildew model, the risk for yield losses from other diseases is not considered. If no action is recommended it is advised to revisit the crop after about one week to make a new evaluation of the risk. 
  
THE PARAMETERS  To obtain accurate risk  predictions it is essential to click on the 'Edit parameters' button to enter information on the cultivar's susceptibility to powdery mildew. Only two categorizes are used susceptible and resistant, if a cultivar is categorized as partly resistant,  it is recommended to considered it as susceptible.  Enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of attacked plants by powdery mildew based on scouting the crop. Between GS  29-31 whole crop should be assessed. Between GS 32 and 40 assessments should only be done on 3 upper leaves.  Entering information on last fungicide spray dates is vital for the model. This is also done in 'Edit parameters'.  Clicking on 'Save' will keep the information entered and the model will immediately update the risk estimate.  After spraying, the model assumes that the crop is protected for  14 days if a broad spectrum fungicide has been applied.
     
SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific brown rust part.  This model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_HORVX_ERYSGR.execution.input_schema.properties.CropId.title;Barley (Spring barley)
dk.seges.1_1.models.CPO_HORVX_ERYSGR.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_HORVX_ERYSGR.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_HORVX_ERYSGR.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to Mildew
dk.seges.1_1.models.CPO_HORVX_ERYSGR.name;CPO model for Mildew in Barley
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.chart_heading;
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with powdery mildew (Percentage of plants showing infection), crop growth stages and spray dates, the risk of mildew is low.  Go to 'Edit parameters' to check and update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.3.explanation;Based on your observations of the frequency of plants infected with powdery mildew (Percentage of plants showing infection), crop growth stages and spray dates, the risk of powdery mildew is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates.  This model runs March to June. 
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.3.recommended_action;If the threshold for mildew is not exceeded, but other diseases are  assessed to also cause a risk and the crop has not been  treated in  the last ten days, choose an effective fungicide, which also controls  powdery mildew. Continue to check for risk updates and  monitor crops.  Update crop growth stage and date of fungicide  applications through the season.
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with powdery mildew (Percentage of plants showing infection), crop growth stages and previous spray dates, the risk of mildew is high. Go to 'Edit  parameters' to check and update growth stages and spray dates. This model runs March-end of June. 
dk.seges.1_1.models.CPO_HORVX_ERYSGR.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against powdery mildew in the last ten days, treat according to need. Apart from effectiveness on powdery mildew the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season  
dk.seges.1_1.models.CPO_HORVX_ERYSGR.purpose;Predicts the need for treatment against mildew in barley
dk.seges.1_1.models.CPO_HORVX_PUCCHD.description;"THE PEST: Brown rust (Puccinia hordei ) is known to attack barley. 
THE DECISION: Fungicide treatments may need to be applied between start of elongation  (GS 30)  and full flowering (GS 65), to protect leaves from attack of brown rust and yield losses. 
THE MODEL: The CPO brown rust model is recommending treatments in barley when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of plants attacked.   In susceptible cultivars treatments are recommended at lower incidence levels than in resistant cultivars.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended, specific fungicides known to be effective against barley brown rust  should be chosen.  When running the brown rust model the risk for yield losses from other diseases is not considered.   If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk. 
THE PARAMETERS  To obtain accurate risk  predictions it is essential to click on the 'Edit parameters' button and enter information on the cultivar's susceptibility to brown rust. Only two categorizes are used susceptible and resistant, if a cultivar is categorized as partly resistant,  it is recommended to consider it as susceptible.  Enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of attacked plants by brown rust based on scouting the crop.  The disease observation is the percentage of plants showing any infection.  For example, if 25 plants out of 100 show even a very small amount of disease and the remaining 80 plants are completely healthy, then the observation is 25%. Between GS  30-31 whole crop should be assessed. Between GS 32 and 65 assessments should be based only on 3 upper leaves.  Entering information on last fungicide spray dates is vital for the model. This is also done in 'Edit parameters'.   Clicking on 'Save' will keep the observations entered and the model will immediately update the risk.  After spraying, the model assumes that the crop is protected for 14 days if a broad spectrum fungicide has been applied.
SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific brown rust part.  This model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_HORVX_PUCCHD.execution.input_schema.properties.CropId.title;Barley (Spring barley)
dk.seges.1_1.models.CPO_HORVX_PUCCHD.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_HORVX_PUCCHD.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_HORVX_PUCCHD.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to brown rust
dk.seges.1_1.models.CPO_HORVX_PUCCHD.name;CPO model for Brown rust in Barley
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.chart_heading;
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with brown rust (Percentage of plants showing infection), crop growth stages and spray dates, the risk of brown rust is low.  Go to 'Edit parameters' to check and update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.3.explanation;Based on your observations of the frequency of plants infected with brown rust (Percentage of plants showing infection), crop growth stages and spray dates, the risk of brown rust is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates.  This model runs March to June. 
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.3.recommended_action;If the threshold for brown rust is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide, which also controls brown rust . Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season 
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with brown rust (Percentage of plants showing infection), crop growth stages and previous spray dates, the risk of brown rust is high. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March to June. 
dk.seges.1_1.models.CPO_HORVX_PUCCHD.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against brown rust in the last ten days, treat according to need. Apart from effectiveness on brown rust  the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_HORVX_PUCCHD.purpose;Predicts the need for treatment against brown rust in barley
dk.seges.1_1.models.CPO_HORVX_PYRNTE.description;"THE PEST: net blotch (Pyrenophora teres) is known to attack barley. 
THE DECISION: Fungicide treatments may need to be applied between start of elongation  (GS 30)  and full flowering (GS 65), to protect leaves from attack of net blotch and yield losses. 
THE MODEL: The CPO net blotch model is recommending treatments in barley when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of plants attacked.  The disease observation is the percentage of plants showing any infection.  For example, if 25 plants out of 100 show even a very small amount of disease and the remaining 80 plants are completely healthy, then the observation is 25%. In susceptible cultivars treatments are recommended at lower incidence levels than in resistant cultivars.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended specific fungicides known to be effective against net blotch  should be chosen.  When running the net blotch model, the risk for yield losses from other diseases is not considered.   If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk. 
THE PARAMETERS  To obtain accurate risk  predictions it is essential to click on the 'Edit parameters' button and enter information on the cultivar's susceptibility to net blotch. Only two categorizes are used susceptible and resistant, if a cultivar is categorized as partly resistant, it is recommended to consider it as susceptible.  Enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of attacked plants by net blotch based on scouting the crop. Between GS  30-31 whole plants should be assessed. Between GS 32 and 65 assessments should be based only on 3 upper leaves.  Entering information on last fungicide spray dates is vital for the model. This is also done in 'Edit parameters'.  Clicking on 'Save' will keep the observations entered and the model will update the risk.  After spraying, the model assumes that the crop is protected for 14 days if a broad spectrum fungicide has been applied.
SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific brown rust part.  This model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_HORVX_PYRNTE.execution.input_schema.properties.CropId.title;Barley (Spring barley)
dk.seges.1_1.models.CPO_HORVX_PYRNTE.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_HORVX_PYRNTE.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_HORVX_PYRNTE.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to barley net blotch
dk.seges.1_1.models.CPO_HORVX_PYRNTE.name;CPO model for Barley net blotch
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.chart_heading;
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with net blotch (Percentage of plants showing infection), crop growth stages and spray dates, the risk of net blotch is low.  Go to 'Edit parameters' to check and update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.3.explanation;Based on your observations of the frequency of the plants infected with net blotch (Percentage of plants showing infection), crop growth stages and spray dates, the risk of net blotch is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March to June. 
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.3.recommended_action;If the threshold for net blotch is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide, which also controls net blotch . Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season 
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of the plants infected with net blotch (Percentage of plants showing infection), crop growth stages and previous spray dates, the risk of net blotch is high. Go to 'Edit  parameters' to check and update growth stages and spray dates. This model runs March-end of June. 
dk.seges.1_1.models.CPO_HORVX_PYRNTE.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against net blotch in the last ten days, treat according to need. Apart from effectiveness on net blotch the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season  
dk.seges.1_1.models.CPO_HORVX_PYRNTE.purpose;Predicts the need for treatment against barley net blotch
dk.seges.1_1.models.CPO_TRZAX_1APHIF.description;THE PEST: Aphids (Sitobian avenae, Rhopalosiphum padi) in wheat   THE DECISION: Insecticides may need to be applied from just before heading (GS 41) to grain filling (GS 73), to protect from yield losses caused by aphids.  THE MODEL: The CPO aphid model is recommending treatments in wheat when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of infected main stems.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended an insecticide known to be effective against aphids should be chosen. When running the aphid model, the risk for yield losses from other pest and diseases is not considered.   If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk.  THE PARAMETERS  To obtain accurate risk predictions it is essential to click on the 'Edit parameters' button and enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of aphid attacked main stems based on scouting the crop.  Clicking on 'save' will keep your observations and update the risk. 
dk.seges.1_1.models.CPO_TRZAX_1APHIF.execution.input_schema.properties.CropId.title;Wheat (spring wheat)
dk.seges.1_1.models.CPO_TRZAX_1APHIF.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_TRZAX_1APHIF.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_TRZAX_1APHIF.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to aphids
dk.seges.1_1.models.CPO_TRZAX_1APHIF.name;CPO model for aphids in wheat
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.chart_heading;
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with aphids, crop growth stages and spray dates, the risk of aphids is low.  Go to 'Edit parameters' to check and update aphids observations, growth stages and spray dates. This model runs March to July.  
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of insecticides applications through the season
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.3.explanation;
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.3.recommended_action;
