KEY;default;de;sl;nl;dk;se;gr;no;fi;lt;fr;it;pl;es;pt
no.nibio.vips.2_0.models.PSILARTEMP.execution.input_schema.properties.configParameters.properties.timeEnd.title;End date of calculation (YYYY-MM-DD);Enddatum der Berechnung (JJJJ-MM-TT);Končni datum izračuna (LLLL-MM-DD);Einddatum van berekening (JJJJ-MM-DD);Slutdato for beregning (ÅÅÅÅ-MM-DD);Slutdatum för beräkning (ÅÅÅÅ-MM-DD);Ημερομηνία λήξης του υπολογισμού (ΕΕΕΕ-MM-ΗΗ);Sluttdato for beregningen (ÅÅÅÅ-MM-DD);;;Date de fin du calcul (AAAA-MM-JJ);Data di fine calcolo (AAAA-MM-GG);;;
no.nibio.vips.2_0.models.PSILARTEMP.execution.input_schema.properties.configParameters.properties.timeStart.title;Start date of calculation (YYYY-MM-DD);Startdatum der Berechnung (JJJJ-MM-TT);Datum začetka izračuna (LLLL-MM-DD);Begindatum van berekening (JJJJ-MM-DD);Startdato for beregning (ÅÅÅÅ-MM-DD);Startdatum för beräkningen (ÅÅÅÅ-MM-DD);Ημερομηνία έναρξης του υπολογισμού (ΕΕΕΕ-MM-ΗΗ);Startdato for beregningen (ÅÅÅÅ-MM-DD);;;Date de début du calcul (AAAA-MM-JJ);Data di inizio del calcolo (AAAA-MM-GG);;;
no.nibio.vips.2_0.models.PSILARTEMP.execution.input_schema.properties.configParameters.properties.timeZone.options.infoText;The time zone information is used when hourly temperature values need to be converted to daily.;Die Zeitzoneninformation wird verwendet, wenn stündliche Temperaturwerte in Tageswerte umgerechnet werden müssen.;Podatki o časovnem pasu se uporabljajo, kadar je treba urne vrednosti temperature pretvoriti v dnevne.;De tijdzone-informatie wordt gebruikt wanneer uurlijkse temperatuurwaarden moeten worden omgezet naar dagelijkse waarden.;Tidszoneoplysningerne bruges, når timetemperaturværdier skal konverteres til daglig.;Tidszonsinformationen används när en-timmarsvärden måste konverteras till dagliga värden för temperatur.;Η πληροφορία για τη ζώνη ώρας χρησιμοποιείται όταν οι ωριαίες τιμές θερμοκρασίας πρέπει να μετατραπούν σε ημερήσιες.;Tidssoneinformasjon benyttes når timesverdier for temperatur skal konverteres til døgntemperatur.;;;Les informations relatives au fuseau horaire sont utilisées lorsque les valeurs de température horaires doivent être converties en valeurs journalières.;Le informazioni sul fuso orario vengono utilizzate quando i valori di temperatura orari devono essere convertiti in giornalieri.;;;
no.nibio.vips.2_0.models.PSILARTEMP.execution.input_schema.properties.configParameters.properties.timeZone.title;Time zone (e.g. Europe/Oslo);Zeitzone (z. B. Europa/Oslo);Časovni pas (npr. Evropa/Oslo);Tijdzone (bijv. Europa/Oslo);Tidszone (f.eks. Europa/Oslo);Tidszon (t.ex. Europa/Oslo);Ζώνη ώρας (π.χ. Ευρώπη/Οσλο);Tidssone (e.g. Europe/Oslo);;;Fuseau horaire (par exemple, Europe/Oslo);Fuso orario (ad es. Europa/Oslo);;;
no.nibio.vips.2_0.models.PSILARTEMP.execution.input_schema.properties.configParameters.title;Configuration parameters;Konfigurationsparameter;Nastavitve parametrov;Configuratie parameters;Konfigurationsparametre;Konfigurationsparametrar;Παράμετροι διαμόρφωσης;Konfigurasjonsparametre;;;Paramètres de configuration;Parametri di configurazione;;;
no.nibio.vips.2_0.models.PSILARTEMP.execution.input_schema.properties.modelId.description;Must be PSILARTEMP;Muss PSILARTEMP sein;Mora biti PSILARTEMP;Moet PSILARTEMP zijn;Skal være PSILARTEMP;Måste vara PSILARTEMP;Πρέπει να είναι PSILARTEMP;Må være PSILARTEMP;;;Doit être PSILARTEMP;Deve essere PSILARTEMP;;;
no.nibio.vips.2_0.models.PSILARTEMP.execution.input_schema.properties.modelId.title;Model Id;Modell-ID;Oznaka modela;Model-ID;Model-id;Modell-ID;Κωδικός μοντέλου;Modell-id;;;Modèle Id;Id modello;;;
no.nibio.vips.2_0.models.PSILARTEMP.name;Carrot fly flight model;Temperaturmodell der Möhrenfliege;Temperaturni model korenjeve muhe;Wortelvlieg temperatuurmodel;Gulerodsflue temperatur model;Temperaturmodell för morotfluga;Μοντέλο θερμοκρασίας μύγας σκουριάς καρότου;Gulrotflue temperaturmodell;;;Modèle de température de la mouche de la carotte;Modello di temperatura della ruggine della carota;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.chart_groups.G1.title;Day degrees;Gradtage;Stopinjski dnevi;Graaddagen;Graddage;Daggrader;Βαθμοημέρες;Graddager;;;Degrés-jours;Gradi giorno;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.chart_heading;Accumulated day degrees;Kumulierte Gradtage;Akumulirani stopinjski dnevi;Geaccumuleerde graaddagen;Akkumulerede daggrader;Ackumulerade daggrader;Σωρευμένες βαθμοημέρες;Akkumulerte graddager;;;Degrés-jours cumulés;Gradi giorno accumulati;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.THRESHOLD_1.description;When the accumulated day degrees exceed this threshold, the flight period is starting up;Wenn die kumulierten Gradtage diesen Schwellenwert überschreiten, beginnt die Flugperiode;Ko akumulirani stopinjski dnevi presežejo ta prag, se začne obdobje leta korenjeve muhe.;Wanneer de geaccumuleerde graaddagen deze drempel overschrijden, start de vliegperiode;Når de akkumulerede graddage overstiger denne tærskel, starter flyveperioden;När de ackumulerade daggraderna överstiger denna tröskel startar flygperioden;Όταν οι συσσωρευμένες βαθμοημέρες υπερβούν αυτό το όριο, αρχίζει η περίοδος πτήσης;Når de akkumulerte graddagene overstiger denne terskelen startersvermingsperioden.;;;Lorsque les degrés-jours accumulés dépassent ce seuil, la période de vol débute;Quando i gradi giorno accumulati superano questa soglia, si avvia il periodo di volo.;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.THRESHOLD_1.title;Threshold for start of flight period;Schwellenwert für den Beginn der Flugperiode;Prag za začetek obdobja letenja;Drempel voor begin van de vliegperiode;Tærskel for flyveperiodens start;Tröskel för flygperiodens början;Κατώτατο όριο για την έναρξη της περιόδου πτήσης;Terskel for start av svermingsperioden;;;Seuil pour le début de la période de vol;Soglia per l'inizio del periodo di volo;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.THRESHOLD_2.description;When the accumulated day degrees exceed this threshold, you enter the peak flight period;Wenn die kumulierten Gradtage diesen Schwellenwert überschreiten, ist mit dem Flughöhepunkt zu rechnen.;Ko akumulirani stopinjski dnevi presežejo ta prag, vstopite v obdobje vrhunca leta korenjeve muhe;Wanneer de geaccumuleerde graaddagen deze drempel overschrijden, gaat de piekvluchtperiode in;Når de akkumulerede graddage overstiger denne tærskel, går du ind i spidsbelastningsperioden;När de ackumulerade daggraderna överstiger denna tröskel går du in i toppen på flygperioden;Όταν οι συσσωρευμένες βαθμοημέρες υπερβούν αυτό το όριο, εισέρχεστε στην περίοδο αιχμής πτήσης;Når de akkumulerte graddagene overstiger denne terskelen, er man inne i hovedsvermingsperioden.;;;Lorsque les degrés-jours cumulés dépassent ce seuil, vous entrez dans la période de pointe de vol.;Quando i gradi giorno accumulati superano questa soglia, si entra nel periodo di picco del volo;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.THRESHOLD_2.title;Threshold for peak flight period;Schwellenwert für den Flughöhepunkt;Prag za obdobje vrhunca leta;Drempel voor piekvluchtperiode;Tærskel for spidsbelastningsperioder for flyvning;Tröskel för massflygningsperiod;Κατώτατο όριο για την περίοδο αιχμής της πτήσης;Terskel for svermingstopp;;;Seuil pour la période de pointe des vols;Soglia per il periodo di picco del volo;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.THRESHOLD_3.description;When the accumulated day degrees exceed this threshold, the 1st generation flight period is over;Wenn die kumulierten Gradtage diesen Schwellenwert überschreiten, ist die Flugperiode der 1. Generation beendet.;Ko akumulirani stopinjski dnevi presežejo ta prag, se konča obdobje letenja prve generacije;Wanneer de gecumuleerde graaddagen deze drempel overschrijden, is de vliegperiode van de 1e generatie voorbij;Når de akkumulerede graddage overstiger denne tærskel, er 1. generations flyveperiode forbi;När de ackumulerade daggraderna överstiger denna tröskel är 1: a generationens flygperiod över;Όταν οι συσσωρευμένες βαθμοημέρες υπερβούν αυτό το όριο, η περίοδος πτήσης της 1ης γενιάς έχει λήξει.;Når de akkumulerte graddagene overstiger denne terskelen er 1. generasjons svermingsperiode over.;;;Lorsque les degrés-jours cumulés dépassent ce seuil, la période de vol de la 1ère génération est terminée.;Quando i gradi giorno accumulati superano questa soglia, il periodo di volo di 1a generazione è terminato;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.THRESHOLD_3.title;Threshold for end of 1st generation flight period;Schwellenwert für das Ende der Flugperiode der 1. Generation;Prag za konec obdobja let prve generacije;Drempel voor einde van de vliegperiode 1e generatie ;Tærskel for udgangen af 1. generations flyveperiode;Tröskel för slutet av 1: a generationens flygperiod;Κατώφλι για το τέλος της περιόδου πτήσης 1ης γενιάς;Terskel for avsluttet sverming av 1. generasjon gulrotfluer;;;Seuil pour la fin de la période de vol de la 1ère génération;Soglia per la fine del periodo di volo di 1a generazione;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.TMDD5C.description;The accumulated day degrees with a base temperature of 5 degrees celcius;Die akkumulierten Gradtage bei einer Basistemperatur von 5 Grad Celcius;Akumulirani stopinjski dnevi nad temperaturo 5 °C;De geaccumuleerde daggraden boven een basistemperatuur van 5 graden celcius;De akkumulerede graddage med en basistemperatur på 5 grader celcius;De ackumulerade daggraderna med en bastemperatur på 5 grader Celcius;Οι συσσωρευμένες βαθμοημέρες με θερμοκρασία βάσης 5 βαθμούς Κελσίου;De akkumulerte graddagene med en basistemperatur på 5 grader celcius;;;Degrés-jours cumulés avec une température de base de 5 degrés Celsius.;I gradi giorno accumulati con una temperatura di base di 5 gradi celsius;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.result_parameters.TMDD5C.title;Accumulated day degrees;Kumulierte Gradtage;Akumulirani stopinjski dnevi;Geaccumuleerde graaddagen;Akkumulerede daggrader;Ackumulerade daggrader;Σωρευμένες βαθμοημέρες;Akkumulerte daggrader;;;Degrés-jours cumulés;Gradi giorno accumulati;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.0.explanation;The flight period of the 1st generation is over.;Die Flugperiode der 1. Generation ist vorbei.;Obdobje letenja 1. generacije je končano.;De vliegperiode van de 1e generatie is voorbij.;Flyveperioden for 1. generation er forbi.;Flygperioden för den 1: a generationen är över.;Η περίοδος πτήσης της 1ης γενιάς έχει τελειώσει.;Svermingsperioden for 1. generasjon gulrotfluer er over;;;La période de vol de la 1ère génération est terminée.;Il periodo di volo della 1ª generazione è terminato.;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.0.recommended_action;Consult your advisory service for action conserning the 2nd generation.;Wenden Sie sich an Ihren Beratungsdients für Maßnahmen in Bezug auf die 2. Generation.;Za ukrepanje proti 2. generaciji korenjeve muhe se posvetujte s svetovalno službo.;Raadpleeg uw adviesdienst voor actie m.b.t. de 2e generatie.;Kontakt din rådgivningstjeneste for handling, der vedrører 2. generation.;Kontakta din rådgivningstjänst för åtgärder som utgör 2: a generationen.;Συμβουλευτείτε τη συμβουλευτική σας υπηρεσία για ενέργειες σχετικά με τη 2η γενιά.;Kontakt din rådgiver for evt. tiltak mot 2. generasjon gulrotflue;;;Consultez votre service de conseil pour les actions concernant la 2ème génération.;Consultare il servizio di consulenza per le azioni relative alla 2a generazione.;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.1.explanation;Data is missing;Es fehlen Daten;Podatki manjkajo;Gegevens ontbreken;Data mangler;Data saknas;Λείπουν δεδομένα;Manglende data;;;Les données sont manquantes;Mancano i dati;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.1.recommended_action;Consult your advisory service if preceding warnings were yellow/red or if accumulated degree-days were close to 260 degree-days;Wenden Sie sich an Ihren Beratungsdienst, wenn die vorangegangenen Warnungen gelb/rot waren oder wenn die kumulierten Gradtage nahe bei 260 Gradtagen lagen;Posvetujte se s svetovalno službo, če so bila predhodna opozorila rumena/rdeča ali če so bile akumulirani stopinjski dnevi blizu 260 stopinjskih dni.;Raadpleeg uw adviesdienst als de voorafgaande waarschuwingen geel/rood waren of als de gecumuleerde graaddagen dicht bij 260 graaddagen lagen;Kontakt din rådgivningstjeneste, hvis tidligere advarsler var gule/røde, eller hvis akkumulerede graddage var tæt på 260 graddage;Kontakta din rådgivningstjänst om tidigare varningar var gula/röda eller om antalet ackumulerade daggrader var nära 260.;Συμβουλευτείτε τον γεωργικό σας σύμβουλο εάν οι προηγούμενες προειδοποιήσεις ήταν κίτρινες/κόκκινες ή εάν οι συσσωρευμένες βαθμοημέρες ήταν κοντά στις 260 βαθμοημέρες.;Kontakt din rådgiver dersom tidligere varsler var gule/røde, eller dersom akkumulerte graddager var nærme 260 graddager.;;;Consultez votre service de conseil si les avertissements précédents étaient jaunes/rouges ou si les degrés-jours cumulés étaient proches de 260 degrés-jours.;Consultare il servizio di consulenza se gli avvisi precedenti erano gialli/rossi o se i gradi-giorni accumulati erano prossimi a 260 gradi-giorni.;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.2.explanation;Based on current data available, the model results indicate low risk of carrot fly flight.This model runs April - September. ;"Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse auf ein geringes Flugrisiko für die Möhrenfliege hin.

Dieses Modell läuft von April bis September. ";"Na podlagi trenutno razpoložljivih podatkov rezultati modela kažejo na majhno tveganje za let korenjeve muhe.

Ta model deluje od aprila do septembra. ";"Op basis van de huidige beschikbare gegevens wijzen de modelresultaten op een laag risico van wortelvliegvlucht.

Dit model loopt van april - september. ";Baseret på de nuværende tilgængelige data indikerer modelresultaterne lav risiko for flyvning af gulerodsfluen. Denne model kører april - september.;"Baserat på aktuella tillgängliga data indikerar modellresultaten låg risk för flygning av morotsfluga.

Denna modell körs april - september.";Με βάση τα τρέχοντα διαθέσιμα δεδομένα, τα αποτελέσματα του μοντέλου υποδεικνύουν χαμηλό κίνδυνο πτήσης της μύγας του καρότου. Το μοντέλο αυτό λειτουργεί από τον Απρίλιο έως τον Σεπτέμβριο. ;Basert på tilgjengelige data indikerer modellresultatene liten risiko for sverming av gulrotfluer.  Denne modellen kjører fra april - september.;;;Sur la base des données actuellement disponibles, les résultats du modèle indiquent un faible risque de vol de la mouche de la carotte. Ce modèle fonctionne d'avril à septembre. ;"Sulla base dei dati attualmente disponibili, i risultati del modello indicano un basso rischio di volo della mosca della carota._x000D_
_x000D_
Questo modello funziona da aprile a settembre. ";;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.2.recommended_action;No action needed. Consider deploying yellow sticky traps in your fields when 260 degree-days is approching.;Keine Maßnahmen erforderlich. Erwägen Sie den Einsatz von gelben Klebefallen auf Ihren Feldern, wenn sich die 260-Grad-Tage nähern.;Ukrepanje ni potrebno. Razmislite o namestitvi rumenih lepljivih plošč na svojih poljih, ko se približuje 260 stopinjskih dni.;Geen actie nodig. Overweeg gele vangplaten in te zetten op uw akkers wanneer 260 graden-dagen nadert.;Ingen handling nødvendig. Overvej at implementere gule limplader  i dine marker, når 260 graders dage nærmer sig.;Ingen åtgärd behövs. Överväg att sätta ut gula limfällor i dina fält när 260 daggrader n ärmar sig.;Δεν απαιτείται καμία ενέργεια. Εξετάστε το ενδεχόμενο να τοποθετήσετε κίτρινες κολλώδεις παγίδες στα χωράφια σας όταν πλησιάζουν οι 260 βαθμοημέρες.;Ingen tiltak nødvendig. Vurder å sette ut gule limfeller i dine gulrotåkre når akkumuelringen av graddager nærmer seg 260.;;;Aucune action nécessaire. Pensez à déployer des pièges jaunes collants dans vos champs lorsque les 260 degrés-jours approchent.;Non è necessario intervenire. Considerate la possibilità di distribuire trappole adesive gialle nei vostri campi quando si avvicinano i 260 gradi-giorno.;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.3.explanation;Based on current data available, conditions are approaching 260 day-degrees over a base of 5*C.The risk of adult carrot fly flight activity is increasing, which indicates that egg laying will soon occur on vulnerable carrot crops.  Increase monitoring efforts in vulnerable crops, and apply suitable treatment according to need.;"Nach den derzeit verfügbaren Daten nähern sich die Bedingungen 260 Gradtagen bei einer Basistemperatur von 5*C.

Das Risiko der Flugaktivität der erwachsenen Möhrenfliege nimmt zu, was darauf hindeutet, dass die Eiablage in gefährdeten Möhrenkulturen bald stattfinden wird.  Erhöhen Sie die Überwachungsmaßnahmen in gefährdeten Kulturen und wenden Sie je nach Bedarf eine geeignete Behandlung an.";"Na podlagi trenutno razpoložljivih podatkov se razmere približujejo 260 stopinjskim dnevom nad temperaturo 5°C.

Tveganje za let odraslih osebkov korenjeve muhe se povečuje, kar pomeni, da lahko kmalu pride do odlaganja jajčec na posevkih korenja. Spremljajte posevke korenja in glede na potrebe uporabite ustrezen ukrep za zatiranje korenjeve muhe.";"Op basis van de huidige beschikbare gegevens, naderen de omstandigheden 260 dag-graden over een basis van 5*C.

De kans op vluchtactiviteit van volwassen wortelvliegen neemt toe, wat erop wijst dat er binnenkort eitjes zullen worden gelegd op kwetsbare wortelgewassen. Verhoog de controle-inspanningen in kwetsbare gewassen en pas een passende behandeling toe naargelang de noodzaak.";Baseret på de nuværende tilgængelige data nærmer forholdene sig 260 daggrader over en base på 5 * C. Risikoen for voksen gulerodsflue er stigende, hvilket indikerer, at æglægning snart vil forekomme på sårbare gulerodsafgrøder. Øg overvågningsindsatsen i sårbare afgrøder og anvende passende behandling efter behov.;"Baserat på aktuella tillgängliga data närmar sig förhållandena 260 daggrader över en bas på 5 * C.

Risken för flygaktivitet hos vuxna morotsflugor ökar, vilket indikerar att äggläggning snart kommer att ske på mottagliga morotsgrödor.  Öka övervakningsinsatserna i mottagliga grödor och utgör lämplig behandling efter behov.";Με βάση τα τρέχοντα διαθέσιμα δεδομένα, οι συνθήκες πλησιάζουν τις 260 βαθμοημέρες σε μια βάση 5*C. Ο κίνδυνος της δραστηριότητας πτήσης της μύγας του καρότου των ενηλίκων αυξάνεται, γεγονός που υποδηλώνει ότι σύντομα θα γίνει ωοτοκία σε ευάλωτες καλλιέργειες καρότου.  Αυξήστε τις προσπάθειες παρακολούθησης στις ευάλωτες καλλιέργειες και εφαρμόστε την κατάλληλη επέμβαση ανάλογα με τις ανάγκες.;Basert på tilgjengelige data nærmer akkumuleringen av graddager seg 260 med en basistemperatur på 5 * C. Risikoen for sverming av voksne gulrotfluer øker, noe som indikerer at egglegging snart vil forekomme i utsatte kulturer. Øk overvåkingsinnsatsen i mottakelige kulturer og utfør aktuelle tiltak etter behov.;;;Selon les données actuellement disponibles, les conditions approchent les 260 degrés-jours sur une base de 5*C. Le risque d'activité de vol de la mouche de la carotte adulte augmente, ce qui indique que la ponte va bientôt avoir lieu sur les cultures de carottes vulnérables.  Intensifiez la surveillance dans les cultures vulnérables, et appliquez un traitement approprié en fonction des besoins.;"Sulla base dei dati attualmente disponibili, le condizioni si stanno avvicinando a 260 gradi-giorno su una base di 5*C._x000D_
_x000D_
Il rischio di attività di volo degli adulti della mosca della carota è in aumento, il che indica che presto si verificherà la deposizione delle uova sulle colture di carota vulnerabili.  Aumentare gli sforzi di monitoraggio nelle colture vulnerabili e applicare un trattamento adeguato in base alle necessità.";;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.3.recommended_action;Deploy yellow sticky traps in your fields if not already done. Consult your advisory service.;Stellen Sie gelbe Klebefallen auf Ihren Feldern auf, falls noch nicht geschehen. Wenden Sie sich an Ihren Beratungsdienst.;Na svojih pridelovalnih površinah namestite rumene lepljive plošče, če tega še niste storili. Posvetujte se s svojo svetovalno službo.;Zet gele vangplaten in uw velden als dat nog niet gebeurd is. Raadpleeg uw adviesdienst.;Implementer gule limplader  i dine marker, hvis det ikke allerede er gjort. Kontakt din rådgivningstjeneste.;Sätt ut gula limfällor i dina fält om de inte redan är klara. Kontakta din rådgivningstjänst.;Τοποθετήστε κίτρινες κολλώδεις παγίδες στα χωράφια σας, αν δεν το έχετε ήδη κάνει. Συμβουλευτείτε τη συμβουλευτική σας υπηρεσία.;Sett ut gule limfeller i åkrene dine, dersom du ikke allerede har gjort dette. Kontakt din rådgiver for veiledning.;;;Déployez des pièges jaunes collants dans vos champs si ce n'est pas déjà fait. Consultez votre service de conseil.;Distribuite le trappole adesive gialle nei vostri campi, se non l'avete già fatto. Consultate il vostro servizio di consulenza.;;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.4.explanation;The threshold of 260 day-degrees over a base of 5*C has been reached.The risk of adult carrot fly flight activity is high, which indicates that egg laying will soon occur on vulnerable carrot crops.  Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. ;"Der Schwellenwert von 260 Gradtagen bei einer Basis von 5*C ist erreicht.

Das Risiko der Flugaktivität der erwachsenen Möhrenfliege ist hoch, was darauf hindeutet, dass die Eiablage in gefährdeten Möhrenkulturen bald stattfinden wird.  Überwachen Sie gefährdete Kulturen auf Aktivität im Feld und wenden Sie je nach Bedarf geeignete Behandlungen an. ";"Dosežena je bila mejna vrednost 260 stopinjskih dni nad osnovo 5°C.

Tveganje za let odrasle korenjeve muhe je visoko, kar pomeni, da lahko kmalu pride do odlaganja jajčec na posevkih korenja.  Spremljajte prisotnost korenjeve muhe v posevku korenja in po potrebu uporabite ustrezen ukrep za zatiranje korenjeve muhe.";"De drempel van 260 dag-graden boven een basis van 5*C is bereikt.

Het risico op vliegactiviteit van volwassen wortelvliegen is hoog, wat erop wijst dat er binnenkort eileg zal plaatsvinden op kwetsbare wortelgewassen.  Monitor kwetsbare gewassen op activiteit in het veld en pas geschikte behandelingen toe naargelang de noodzaak. ";Tærsklen på 260 daggrader over en base på 5 * C er nået. Risikoen for voksen gulerodsflue flyveaktivitet er høj, hvilket indikerer, at æglægning snart vil forekomme på sårbare afgrøder. Overvåg sårbare afgrøder til aktivitet i marken, og anvend passende behandlinger efter behov.;"Tröskeln på 260 daggrader över en bas på 5 * C har uppnåtts.

Risken för flygaktivitet hos vuxna morotflugor är hög, vilket indikerar att äggläggning snart kommer att inträffa på mottagliga morotsgrödor.  Övervaka mottagliga grödor för aktivitet på fältet och utför lämpliga behandlingar efter behov.";Το όριο των 260 βαθμοημέρων σε μια βάση 5*C έχει επιτευχθεί. Ο κίνδυνος δραστηριότητας πτήσης της μύγας του καρότου από ενήλικα άτομα είναι υψηλός, γεγονός που υποδηλώνει ότι σύντομα θα γίνει ωοτοκία σε ευάλωτες καλλιέργειες καρότου.  Παρακολουθήστε τις ευάλωτες καλλιέργειες για δραστηριότητα στο χωράφι και εφαρμόστε τις κατάλληλες επεμβάσεις ανάλογα με τις ανάγκες. ;Terskelen på 260 graddager med en basistemperatur på 5 * C er oppnådd. Risikoen for sverming av voksne gulrotfluer er stor, noe som indikerer at egglegging snart vil forekomme i utsatte kulturer. Øk overvåkingsinnsatsen i mottakelige kulturer og utfør aktuelle tiltak etter behov.;;;Le seuil de 260 degrés-jours sur une base de 5*C a été atteint. Le risque d'activité de vol de la mouche de la carotte adulte est élevé, ce qui indique que la ponte va bientôt avoir lieu sur les cultures de carottes vulnérables.  Surveillez l'activité au champ des cultures vulnérables et appliquez les traitements appropriés en fonction des besoins. ;"È stata raggiunta la soglia di 260 gradi-giorno su una base di 5*C._x000D_
_x000D_
Il rischio di attività di volo della mosca delle carote adulte è elevato, il che indica che la deposizione delle uova avverrà presto sulle colture di carote vulnerabili.  Monitorare le colture vulnerabili per verificare l'attività in campo e applicare i trattamenti adeguati in base alle necessità. ";;;
no.nibio.vips.2_0.models.PSILARTEMP.output.warning_status_interpretation.4.recommended_action;Consult your advisory service. Consider action to protect your crop based on observations in your own field.;Wenden Sie sich an Ihren Beratungsdienst. Überlegen Sie sich Maßnahmen zum Schutz Ihrer Ernte auf der Grundlage von Beobachtungen auf Ihrem eigenen Feld.; Posvetujte se s svojo svetovalno službo. Razmislite o ukrepih za zaščito svojega pridelka na podlagi opazovanj na svojem polju.;Raadpleeg uw adviesdienst. Overweeg maatregelen om uw gewas te beschermen op basis van waarnemingen op uw eigen veld.;Kontakt din rådgivningstjeneste. Overvej handling for at beskytte din afgrød baseret på observationer på din egen mark.;Kontakta din rådgivningstjänst. Överväg åtgärder för att skydda din gröda baserat på observationer i ditt eget fält.;Συμβουλευτείτε τον γεωργικό σας σύμβουλο. Εξετάστε τη λήψη μέτρων για την προστασία της καλλιέργειάς σας με βάση τις παρατηρήσεις στο δικό σας χωράφι.;Kontakt din rådgiver. Vurder å sette inn tiltak for å beskytte kulturen basert på observasjoner i egen åker.;;;Consultez votre service de conseil. Envisagez des mesures de protection de votre culture en fonction des observations faites dans votre propre champ.;Consultate il vostro servizio di consulenza. Considerate le azioni da intraprendere per proteggere la vostra coltura sulla base delle osservazioni effettuate sul vostro campo.;;;
no.nibio.vips.2_0.models.PSILARTEMP.purpose;Estimates risk of flight and egg laying in crop;Schätzt das Risiko des Zufluges und der Eiablage in der Kultur ab;Ocenjuje tveganje za polet in odlaganje jajčec v pridelku;Schatting van het risico op vluchten en eileg in gewassen;Estimerer risiko for flyvning og æglægning i afgrøde;Uppskattar risken för flygning och äggläggning i grödan;Εκτιμά τον κίνδυνο πτήσης και ωοτοκίας στην καλλιέργεια;Estimerer risiko for sverming og egglegging av gulrotflue.;;;Estime le risque de vol et de ponte dans les cultures;Stime del rischio di volo e di deposizione delle uova nelle coltivazioni;;;
