KEY;default;de;sl;nl;dk;se;gr;no;fi;lt;fr;it;pl;es;pt
no.nibio.vips.2_0.models.MAMESTRABR.description;"The model for the warning system for cabbage moth was developed by Dr. Nina Svae Johansen. 
It is based on the minimum temperature threshold and the requirement for accumulated 
day-degrees for the different stages of the cabbage moth [CITATION Joh96 \t \l 1044 ]. 
The accumulated degree-day model calculates forecasts for development of the cabbage moth 
through the summer, generates warnings for the time when eggs and small larvae can be 
registered in the field and the best time for treatment [CITATION Joh97 \t \l 1044 ].

Note that the model is based on temperature, it is not related to the presence or 
absence of cabbage moth in the field. Thus, it is important to evaluate the situation in the field.

SOURCE: 
ASSUMPTIONS: 
REFERENCE: ";"Das Modell für das Warnsystem für die Kohleule wurde von Dr. Nina Svae Johansen entwickelt.  
Es basiert auf der Mindesttemperaturschwelle und dem Bedarf an akkumulierten 
Gradtagszahlen für die verschiedenen Stadien der Kohleule [CITATION Joh96 \t \l 1044 ].  
Das Modell der akkumulierten Gradtage prognostiziert die Entwicklung der Kohleule 
während des Sommers, erzeugt Warnungen für den Zeitpunkt, zu dem Eier und kleine Larven auf dem 
Feld registriert werden können und den besten Zeitpunkt für die Behandlung [CITATION Joh97 \t \l 1044 ].

 Es ist zu beachten, dass das Modell auf der Temperatur basiert und nicht auf dem Vorhandensein oder 
Nicht-Vorhandensein der Kohleule auf dem Feld beruht. Daher ist es wichtig, die Situation auf dem Feld zu bewerten.

QUELLE: 
ANNAHMEN: 
REFERENZ: ";"Model za opozarjanje na kapusovo sovko je razvila Dr. Nina Svae Johansen. 
Temelji na minimalnem temperaturnem pragu in zahtevi po akumulaciji stopinjskih dni za različne razvojne stopnje kapusove sovke [CITAT Joh96 \t \l 1044 ]. 
Model akumulacije stopinjskih dni izračunava napovedi za razvoj kapusove sovke med poletjem, in opozarja kdaj so lahko jajčeca in majhne ličinke kapusove sovke na pridelovalni površini ter najboljši čas za tretiranje s FFS [CITATION Joh97 \t \l 1044 ].

Upoštevajte, da model temelji na temperaturi in ni povezan s prisotnostjo ali odsotnostjo kapusovega molja na pridelovalni površini. Zato je pomembno oceniti razmere na vaši pridelovalni površini.

VIR: 
PREDPOSTAVKE: 
LITERATURA: ";"Het model voor het waarschuwingssysteem voor koolmot is ontwikkeld door Dr. Nina Svae Johansen.
Het is gebaseerd op de minimumtemperatuurdrempel en de drempel voor geaccumuleerde
daggraden voor de verschillende stadia van de koolmot [CITATIE Joh96 \t \l 1044 ].
Het geaccumuleerde graaddagenmodel berekent voorspellingen voor de ontwikkeling van de koolmot
door de zomer, genereert waarschuwingen voor de tijd dat eieren en kleine larven kunnen worden
geregistreerd in het veld en het beste tijdstip voor behandeling [CITATIE Joh97 \t \l 1044 ].

Merk op dat het model is gebaseerd op temperatuur, het is niet gerelateerd aan de aanwezigheid of
afwezigheid van koolmot in het veld. Het is dus belangrijk om de situatie in het veld te evalueren.

BRON:
AANNAMES:
REFERENTIE: ";Modellen til varslingssystemet for kålmøl er udviklet af Dr. Nina Svae Johansen. Det er baseret på mini-mumstemperaturtærskel og kravet om akkumulerede graddage for de forskellige stadier af kålmøl [CITA-TION Joh96 \t \l 1044 ]. Den akkumulerede graddagsmodel beregner prognoser for udviklingen af kålmøl gennem sommeren og genererer advarsler for det tidspunkt, hvor æg og små larver kan registreres i mar-ken og det bedste tidspunkt for behandling [CITATION Joh97 \t \l 1044 ]. Bemærk, at modellen er baseret på temperatur, den er ikke relateret til tilstedeværelsen eller fraværet af kålmøl i marken. Det er således vigtigt at evaluere situationen i marken. KILDE: ANTAGELSER: REFERENCE;"Modellen för varningssystemet för kålmal har utvecklats av Dr Nina Svae Johansen
Den baseras på lägsta temperaturtröskel och kravet på ackumulerad dagsgrader för kålmalens olika stadier [CITATION Joh96 \t \l 1044 ].
Den ackumulerade graddagsmodellen beräknar prognoser för utvecklingen av kålmalen genom sommaren, genererar varningar för den tid då ägg och små larver kan vara registrerad i fält och bästa tid för behandling [CITATION Joh97 \t \l 1044 ].

Observera att modellen är baserad på temperatur, den är inte relaterad till närvaron eller frånvaro av kålmal på fältet. Därför är det viktigt att utvärdera situationen i fält.

KÄLLA:
ANTAGANDEN:
REFERENS:";"Το μοντέλο για το σύστημα προειδοποίησης για τον σκόρο του λάχανου αναπτύχθηκε από τη Δρ Nina Svae Johansen. 
Βασίζεται στο κατώτατο όριο θερμοκρασίας και στην απαίτηση για συσσωρευμένους 
βαθμούς ημέρας για τα διάφορα στάδια του σκόρου του λάχανου [CITATION Joh96 \t \l 1044 ]. 
Το μοντέλο συσσωρευμένων βαθμών-ημερών υπολογίζει προβλέψεις για την ανάπτυξη του σκόρου του λάχανου κατά τη διάρκεια του καλοκαιριού, δημιουργεί προειδοποιήσεις για το χρόνο κατά τον οποίο τα αυγά και οι μικρές προνύμφες μπορούν να εμφανιστούν στον αγρό και την καλύτερη στιγμή για την αντιμετώπιση [CITATION Joh97 \t \l 1044 ].

Σημειώνεται ότι το μοντέλο βασίζεται στη θερμοκρασία, δεν σχετίζεται με την παρουσία ή την απουσία του σκώρου του λάχανου στον αγρό. Συνεπώς, είναι σημαντικό να αξιολογηθεί η κατάσταση στον αγρό.

ΠΗΓΗ: 
ΥΠΟΘΕΣΕΙΣ: 
ΑΝΑΦΟΡΑ: ";"Modellen for varslingssystem for kålfly er utviklet av Dr. Nina Svae Johansen.
Den er basert på terskelen for laveste temperatur og kravet til sammenlagte
daggrader for kålflyens ulike stadier [SITASJON Joh96 \t \l 1044 ].
Den akkumulerte graddagsmodellen beregner prognoser for utvikling av kålfly
gjennom sommeren, genererer varsler for tiden når egg og små larver kan
registreres i felt, og de beste tidspunktene for behandling [SITASJON Joh97 \t \l 1044 ].

Merk at modellen er basert på temperatur, den er ikke relatert til tilstedeværelsen eller
fravær av kålfly i åkeren. Derfor er det viktig å vurdere situasjonen i felt.

KILDE:
ANTAGELSER:
HENVISNING:
";;"Kopūstinių pelėdgalvių perspėjimo sistemos modelį sukūrė Dr. Nina Svae Johansen.
Jis grindžiamas minimalios temperatūros riba ir reikalavimu, kad būtų sukauptas paros laipsnių skaičiaus skirtingoms kopūstinio pelėdgalvio stadijoms [CITATA Joh96 \t \l 1044 ].
Pagal sukauptų paros laipsnių modelį apskaičiuojamos kopūstinio pelėdgalvio vystymosi prognozės vasarą, generuoja įspėjimus apie laiką, kai kiaušinėliai ir mažos lervos gali būti lauke ir geriausią laiką purškimui [CITATA Joh97 \t \l 1044 ].
Atkreipkite dėmesį, kad šis modelis yra pagrįstas oro temperatūra, jis nesusijęs su kopūstinės kandies buvimu ar nebuvimu lauke. Todėl svarbu tinkamai įvertinti situaciją laukuose.
ŠALTINIS:
PRIELAIDOS:
LITERATŪRA:";"Le modèle du système d'alerte pour la piéride du chou a été développé par le Dr Nina Svae Johansen.  Il est basé sur le seuil de température minimale et sur les degrés-jours accumulés pour les différents stades de la piéride du chou [CITATION Joh96 \t \l 1044 ].  Le modèle de degrés-jours accumulés calcule les prévisions de développement de la piéride du chou tout au long de l'été, génère des avertissements pour le moment où les œufs et les petites larves peuvent être observés dans le champ et le meilleur moment pour le traitement [CITATION Joh97 \t \l 1044 ].  Notez que le modèle est basé sur la température, il n'est pas lié à la présence ou l'absence de la piéride du chou dans le champ. Il est donc important d'évaluer la situation dans le champ. SOURCE : 
HYPOTHÈSES : 
RÉFÉRENCE : ";"Il modello del sistema di allerta per la tignola del cavolo è stato sviluppato dalla dott.ssa Nina Svae Johansen. 
Si basa sulla soglia di temperatura minima e sul requisito dei gradi-giorno accumulati per i diversi stadi della tignola del cavolo [Citazione Joh96 \t \l 1044 ]. 
Il modello dei gradi-giorno accumulati calcola le previsioni per lo sviluppo della tignola del cavolo per tutta l'estate, genera avvertimenti per il momento in cui uova e piccole larve possono essere uova e le piccole larve possono essere registrate sul campo e il momento migliore per il trattamento [CITATION Joh97 \t \l 1044 ].

Si noti che il modello si basa sulla temperatura, non è legato alla presenza o all'assenza di tignole nel campo.  Pertanto, è importante valutare la situazione in campo.

FONTE: 
ASSUNZIONI: 
RIFERIMENTO: ";;;
no.nibio.vips.2_0.models.MAMESTRABR.execution.input_schema.properties.configParameters.properties.timeEnd.title;End date of calculation (YYYY-MM-DD);Enddatum der Berechnung (JJJJ-MM-TT);Končni datum izračuna (DD-MM-LLLL);Einddatum berekening (JJJJ-MM-DD);Slutdato for beregning (ÅÅÅÅ-MM-DD);Slutdatum för beräkning (ÅÅÅÅ-MM-DD);Ημερομηνία λήξης του υπολογισμού (ΕΕΕΕ-ΜΜ-ΗΗ);Skaičiavimo pabaigos data (MMMM-MM-DD);;Skaičiavimo pabaigos data (MMMM-MM-DD);Date de fin du calcul (AAAA-MM-JJ);Data fine calcolo (AAAA-MM-GG);;;
no.nibio.vips.2_0.models.MAMESTRABR.execution.input_schema.properties.configParameters.properties.timeStart.title;Start date of calculation (YYYY-MM-DD);Startdatum der Berechnung (JJJJ-MM-TT);Začetni datum izračuna (DD-MM-LLLL);Begindatum berekening (JJJJ-MM-DD);Startdato for beregning (ÅÅÅÅ-MM-DD);Startdatum för beräkningen (ÅÅÅÅ-MM-DD);Ημερομηνία έναρξης του υπολογισμού (ΕΕΕΕ-ΜΜ-ΗΗ);Skaičiavimo pradžios data (MMMM-MM-DD);;Skaičiavimo pradžios data (MMMM-MM-DD);Date de début du calcul (AAAA-MM-JJ);Data inizio calcolo (AAAA-MM-GG);;;
no.nibio.vips.2_0.models.MAMESTRABR.execution.input_schema.properties.configParameters.properties.timeZone.title;Time zone (e.g. Europe/Oslo);Zeitzone (z. B. Europa/Oslo);Časovni pas (npr. Evropa/Oslo);Tijdzone (bijv. Europa/Oslo);Tidszone (f.eks. Europa/Oslo);Tidszon (t.ex. Europa/Stockholm);Ζώνη ώρας (π.χ. Ευρώπη/Οσλο);Laiko juosta (pvz. Europa/Oslas);;Laiko juosta (pvz. Europa/Oslas);Fuseau horaire (par exemple, Europe/Oslo);Fuso orario (es. Europa/Oslo);;;
no.nibio.vips.2_0.models.MAMESTRABR.execution.input_schema.properties.configParameters.title;Configuration parameters;Konfigurationsparameter;Parametri konfiguracije;Configuratieparameters:;Konfigurationsparametre;Konfigurationsparametrar;Παράμετροι διαμόρφωσης;Konfigūracijos parametrai;;Konfigūracijos parametrai;Paramètres de configuration;Configurazione parametri;;;
no.nibio.vips.2_0.models.MAMESTRABR.execution.input_schema.properties.modelId.description;Must be MAMESTRABR;Muss MAMESTRABR sein;Mora biti MAMESTRABR;Moet MAMESTRABR . zijn;Skal være MAMESTRABR;Måste vara MAMESTRABR;Πρέπει να είναι MAMESTRABR;Turi būti MAMESTRABR;;Turi būti MAMESTRABR;Doit être MAMESTRABR;Deve essere MAMESTRABR;;;
no.nibio.vips.2_0.models.MAMESTRABR.execution.input_schema.properties.modelId.title;Model Id;Modell-ID;ID modela;Model-ID;Model-id;Modell ID;Μοντέλο ID;Modelio ID;;Modelio ID;Modèle Id;Modello ID;;;
no.nibio.vips.2_0.models.MAMESTRABR.name;Cabbage moth model;Modell Kohleule;Model kapusove sovke;Koolmot model;Kålmøl model;Model för kålmal;Μοντέλο σκόρου του λαχάνου;Kopūstinio pelėdgalvio modelis;;Kopūstinio pelėdgalvio modelis;Modèle de piéride du chou;Modello tignola del cavolo;;;
no.nibio.vips.2_0.models.MAMESTRABR.output.chart_groups.G1.title;Day degrees;Tagesgrade;Stopinjski dnevi;Graaddagen;Graddage;Daggrader;Βαθμοημέρες;Paros laipsniai;;Paros laipsniai;Degrés-jours;Gradi giorno;;;
no.nibio.vips.2_0.models.MAMESTRABR.output.chart_heading;Accumulated day degrees;Kumulierte Tagesgrade;Akumulirani stopinjski dnevi;Geaccumuleerde graaddagen;Akkumulerede graddage;Sammanlagda daggrader;Συσσωρευμένες βαθμοημέρες;Suminiai paros oro temperatūros laipsniai ;;Suminiai paros oro temperatūros laipsniai ;Degrés-jours cumulés;Gradi giorno accumulati;;;
no.nibio.vips.2_0.models.MAMESTRABR.output.result_parameters.TMDD.description;The accumulated day degrees with a base temperature of 0 degrees celcius;Die akkumulierten Tagesgrade bei einer Basistemperatur von 0 Grad Celcius;Akumulirani stopinjski dnevi z osnovno temperaturo 0 stopinj Celzija;De opgetelde graaddagen met een basistemperatuur van 0 graden celcius;De akkumulerede graddage med en basistemperatur på 0 grader celcius;Sammanlagda daggrader med 0 grader C som bastemperatur;Οι συσσωρευμένοι βαθμοί ημέρας με θερμοκρασία βάσης 0 βαθμούς Κελσίου;Suminis paros laipsnių skaičius, kai bazinė temperatūra yra 0 °C;;Suminis paros laipsnių skaičius, kai bazinė temperatūra yra 0 °C;Les degrés-jours accumulés avec une température de base de 0 degré Celsius.;I gradi giorno accumulati con una temperatura base di 0 gradi celsius;;;
no.nibio.vips.2_0.models.MAMESTRABR.output.result_parameters.TMDD.title;Accumulated day degrees;Kumulierte Tagesgrade;Akumulirani stopinjski dnevi;Geaccumuleerde graaddagen;Akkumulerede graddage;Sammanlagda daggrader;Συσσωρευμένες βαθμοημέρες;Suminiai paros oro temperatūros laipsniai ;;Suminiai paros oro temperatūros laipsniai ;Degrés-jours cumulés;Gradi giorno accumulati;;;
no.nibio.vips.2_0.models.MAMESTRABR.output.warning_status_interpretation.0.explanation;Green rectangles indicate that there is no danger of attack. Green rectangles are shown prior to the start of oviposition (SUMDG < 158).Yellow rectangles (prior to red rectangles) indicate that oviposition has begun and that the farmer should make observations in the field. Yellow rectangles are first shown when the soil temperature has reached 158 day-degrees (SUMDG=158). Yellow rectangles are also shown later in the season, after a red warning, to indicate that it is beyond the optimal time for treatment (the small larval instars). The larvae are too big for effective chemical control (they seek shelter from the sun inside the heads).Red rectangles indicate the optimal time for treatment (when when registration in the field indicates attack). At this time most of the larvae are small and easily targeted on the outer leaves.Grey rectangles indicate that the warning has ended. The larvae are so big that chemical control is very difficult or no longer possible.;Grüne Rechtecke zeigen an, dass keine Gefahr eines Befalls besteht. Grüne Rechtecke werden vor dem Beginn der Eiablage angezeigt (SUMDG < 158).Gelbe Rechtecke (vor roten Rechtecken) zeigen an, dass die Eiablage begonnen hat und dass der Landwirt Beobachtungen auf dem Feld machen sollte. Gelbe Rechtecke werden zum ersten Mal angezeigt, wenn die Bodentemperatur 158 Grad-Tage erreicht hat (SUMDG=158). Gelbe Rechtecke werden auch später in der Saison, nach einer roten Warnung, angezeigt, um darauf hinzuweisen, dass der optimale Zeitpunkt für die Behandlung (kleine Larvenstadien) überschritten ist. Die Larven sind zu groß für eine wirksame chemische Bekämpfung (sie suchen Schutz vor der Sonne im Inneren der Köpfe), während die roten Rechtecke den optimalen Zeitpunkt für die Behandlung anzeigen (wenn die Registrierung im Feld einen Befall anzeigt). Zu diesem Zeitpunkt sind die meisten Larven klein und lassen sich leicht auf den äußeren Blättern bekämpfen.Graue Rechtecke zeigen an, dass die Warnung abgelaufen ist. Die Larven sind so groß, dass eine chemische Bekämpfung sehr schwierig oder nicht mehr möglich ist.;Zeleni pravokotniki označujejo, da ni nevarnosti napada. Zeleni pravokotniki so prikazani pred začetkom izleganja jajčec (SUMDG < 158). Rumeni pravokotniki (pred rdečimi pravokotniki) kažejo, da se je izleganje jajčec začelo in da mora biti pridelovalec pozoren na  na prisotnost kapusove sovke na pridelovalni površini. Rumeni pravokotniki se prvič prikažejo, ko temperatura tal doseže 158 stopinjskih dni (SUMDG = 158). Rumeni pravokotniki se prikažejo tudi pozneje v sezoni (po rdečem opozorilu), ki označuje, da je optimalni časa za tretiranje manjših ličink minil. Ličinke so prevelike za učinkovito kemično zatiranje in iščejo zavetje pred soncem v notranjosti glav. Rdeči pravokotniki označujejo optimalni čas za tretiranje (ob potrditvi njihove prisotnosti na pridelovalni površini). V tem času je večina ličink majhnih in jih je mogoče zlahka usmeriti na zunanje liste. Sivi pravokotniki označujejo, da se je opozorilo končalo. Ličinke so tako velike, da je kemično zatiranje zelo težko ali pa ni več mogoče.;Groene rechthoeken geven aan dat er geen gevaar is. Groene rechthoeken worden getoond vóór het begin van het leggen van eitjes (SUMDG < 158). Gele rechthoeken (vóór rode rechthoeken) geven aan dat het leggen is begonnen en dat de teler waarnemingen in het veld moet doen. Gele rechthoeken worden eerst getoond als de bodemtemperatuur 158 daggraden heeft bereikt (SUMDG=158). Gele rechthoeken worden ook later in het seizoen getoond, na een rode waarschuwing, om aan te geven dat het voorbij de optimale tijd voor behandeling is (de kleine larvale stadia). De larven zijn te groot voor een effectieve chemische bestrijding (ze zoeken beschutting tegen de zon in de koppen). Rode rechthoeken geven het optimale tijdstip voor behandeling aan (wanneer registratie in het veld aantasting aangeeft). Op dit moment zijn de meeste larven klein en gemakkelijk gevonden op de buitenste bladeren. Grijze rechthoeken geven aan dat de waarschuwing is beëindigd. De larven zijn zo groot dat chemische bestrijding erg moeilijk of niet meer mogelijk is.;Grønne rektangler indikerer, at der ikke er fare for angreb. Grønne rektangler vises inden starten af æglægningen (SUMDG < 158). Gule rektangler (før røde rektangler) angiver, at æglægningen er begyndt, og at landmanden skal foretage observationer i marken. Gule rektangler vises først, når jordtemperaturen har nået 158 graddage (SUMDG = 158). Gule rektangler vises også senere på sæsonen, efter en rød advarsel, for at indikere, at det er ud over det optimale tidspunkt for behandling (det lille larvestadie). Larverne er for store til effektiv kemisk bekæmpelse (de søger ly for solen). Røde rektangler angiver den optimale tid til behandling (når registrering i marken indikerer angreb). På dette tidspunkt er de fleste larver små og lette at ramme på ydre blade. Grå rektangler angiver, at advarslen er afsluttet. Larverne er så store, at kemisk bekæmpelse er meget vanskelig eller ikke længere mulig.;Gröna rektanglar indikerar att det inte finns någon fara för angrepp. Gröna rektanglar visas innan äggläggningen påbörjas (SUMDG < 158). Gula rektanglar (före röda rektanglar) indikerar att äggläggningen har påbörjats och att lantbrukaren bör göra observationer i fält. Gula rektanglar visas först när jordtemperaturen har nått 158 ​​dygnsgrader (SUMDG=158). Gula rektanglar visas även senare under säsongen, efter en röd varning, för att indikera att det är bortom den optimala tiden för behandling (de små larverna). Larverna är för stora för effektiv kemisk bekämpning (de söker skydd från solen inuti kålhuvudena). Röda rektanglar indikerar den optimala tidpunkten för behandling (när registrering i fält indikerar angrepp). Vid denna tidpunkt är de flesta larverna små och lätta att nås på yttre bladen. Gråa rektanglar indikerar att varningen har upphört. Larverna är så stora att kemisk bekämpning är mycket svår eller inte längre möjlig.;Τα πράσινα ορθογώνια δείχνουν ότι δεν υπάρχει κίνδυνος επίθεσης. Τα πράσινα ορθογώνια εμφανίζονται πριν από την έναρξη της ωοτοκίας (SUMDG < 158). τα κίτρινα ορθογώνια (πριν από τα κόκκινα ορθογώνια) υποδεικνύουν ότι η ωοτοκία έχει αρχίσει και ότι ο γεωργός πρέπει να κάνει παρατηρήσεις στον αγρό. Τα κίτρινα ορθογώνια εμφανίζονται για πρώτη φορά όταν η θερμοκρασία του εδάφους έχει φθάσει τους 158 βαθμούς ημέρας (SUMDG=158). Τα κίτρινα ορθογώνια εμφανίζονται επίσης αργότερα κατά τη διάρκεια της περιόδου, μετά από μια κόκκινη προειδοποίηση, για να υποδείξουν ότι είναι πέρα από τη βέλτιστη εποχή για την αντιμετώπιση (τα μικρά στάδια προνυμφών). Οι προνύμφες είναι πολύ μεγάλες για αποτελεσματική χημική καταπολέμηση (αναζητούν καταφύγιο από τον ήλιο στο εσωτερικό των κεφαλών). Τα κόκκινα ορθογώνια υποδεικνύουν τη βέλτιστη στιγμή για την αντιμετώπιση (όταν η καταγραφή στον αγρό υποδεικνύει προσβολή). Αυτή τη στιγμή οι περισσότερες προνύμφες είναι μικρές και εύκολα στοχεύονται στα εξωτερικά φύλλα.τα γκρι ορθογώνια υποδεικνύουν ότι η προειδοποίηση έχει λήξει. Οι προνύμφες είναι τόσο μεγάλες που η χημική καταπολέμηση είναι πολύ δύσκολη ή δεν είναι πλέον δυνατή.;Žaliais stačiakampiais pažymėta, kad atakos pavojaus nėra. Žali stačiakampiai rodomi prieš kiaušinėlių dėjimo pradžią (SUMDG < 158). Geltoni stačiakampiai (prieš raudonus stačiakampius) rodo, kad kiaušinėlių dėjimas prasidėjo ir kad ūkininkas turėtų atlikti stebėjimus lauke. Geltoni stačiakampiai pirmą kartą rodomi, kai dirvožemio temperatūra pasiekia 158 paros laipsnius (SUMDG = 158). Geltoni stačiakampiai rodomi ir vėlesniu sezono metu, po raudono įspėjimo, siekiant parodyti, kad tai jau praėjęs optimalus apsaugos laikas (mažų lervų stadijos). Lervos yra per didelės, kad būtų galima veiksmingai kovoti su cheminėmis medžiagomis (jos ieško prieglobsčio nuo saulės gūžių viduje). Raudonais stačiakampiais pažymėtas optimaliausias kontrolės periodas (kai lauke pastebimas kenkėjų antpuolis). Tuo metu dauguma lervų yra mažos ir lengvai pasiekiamos ant išorinių lapų. Pilki stačiakampiai rodo, kad įspėjimo laikas baigėsi. Lervos yra tokios didelės, kad cheminė kontrolė yra labai sudėtinga arba nebeįmanoma.;;Žaliais stačiakampiais pažymėta, kad atakos pavojaus nėra. Žali stačiakampiai rodomi prieš kiaušinėlių dėjimo pradžią (SUMDG < 158). Geltoni stačiakampiai (prieš raudonus stačiakampius) rodo, kad kiaušinėlių dėjimas prasidėjo ir kad ūkininkas turėtų atlikti stebėjimus lauke. Geltoni stačiakampiai pirmą kartą rodomi, kai dirvožemio temperatūra pasiekia 158 paros laipsnius (SUMDG = 158). Geltoni stačiakampiai rodomi ir vėlesniu sezono metu, po raudono įspėjimo, siekiant parodyti, kad tai jau praėjęs optimalus apsaugos laikas (mažų lervų stadijos). Lervos yra per didelės, kad būtų galima veiksmingai kovoti su cheminėmis medžiagomis (jos ieško prieglobsčio nuo saulės gūžių viduje). Raudonais stačiakampiais pažymėtas optimaliausias kontrolės periodas (kai lauke pastebimas kenkėjų antpuolis). Tuo metu dauguma lervų yra mažos ir lengvai pasiekiamos ant išorinių lapų. Pilki stačiakampiai rodo, kad įspėjimo laikas baigėsi. Lervos yra tokios didelės, kad cheminė kontrolė yra labai sudėtinga arba nebeįmanoma.;Les rectangles verts indiquent qu'il n'y a pas de risque d'attaque. Les rectangles verts sont affichés avant le début de la ponte (SUMDG < 158). Les rectangles jaunes (avant les rectangles rouges) indiquent que la ponte a commencé et que l'agriculteur doit faire des observations dans le champ. Les rectangles jaunes apparaissent pour la première fois lorsque la température du sol a atteint 158 degrés-jour (SUMDG=158). Les rectangles jaunes sont également affichés plus tard dans la saison, après un avertissement rouge, pour indiquer que le moment optimal pour le traitement est dépassé (les petits stades larvaires). Les larves sont trop grosses pour une lutte chimique efficace (elles cherchent à s'abriter du soleil à l'intérieur des choux). Les rectangles rouges indiquent le moment optimal pour le traitement (si les observations de terrain confirment une attaque). À ce moment, la plupart des larves sont petites et peuvent être facilement ciblées sur les feuilles extérieures. Les rectangles gris indiquent que l'alerte est terminée. Les larves sont trop grosses, la lutte chimique n'est plus possible.;I rettangoli verdi indicano che non c'è pericolo di attacco. I rettangoli verdi vengono visualizzati prima dell'inizio dell'ovodeposizione (SUMDG < 158). I rettangoli gialli (prima dei rettangoli rossi) indicano che l'ovodeposizione è iniziata e che l'agricoltore deve fare delle osservazioni sul campo. I rettangoli gialli vengono visualizzati per la prima volta quando la temperatura del suolo ha raggiunto i 158 gradi giorno (SUMDG=158). I rettangoli gialli vengono visualizzati anche più avanti nella stagione, dopo un avviso rosso, per indicare che è oltre il momento ottimale per il trattamento (i piccoli istanti larvali). I rettangoli rossi indicano il momento ottimale per il trattamento (quando la registrazione in campo indica un attacco). In questo momento la maggior parte delle larve sono piccole e facilmente attaccabili sulle foglie esterne. I rettangoli grigi indicano che l'allarme è terminato. Le larve sono così grandi che il controllo chimico è molto difficile o non è più possibile.;;;
no.nibio.vips.2_0.models.MAMESTRABR.output.warning_status_interpretation.0.recommended_action;;;;;;;;;;; ;;;;
