KEY;default;dk;de;nl;sl;no;se;fi;lt;fr;it;gr;pl;es;pt
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.modelId.description;Must be HAPDMA;Skal være HAPDMA;Muss HAPDMA sein;Moet HAPDMA zijn;Mora biti HAPDMA;Må være HAPDMA;Skall vara HAPDMA;;Privalo būti HAPDMA;Doit être HAPDMA;Deve essere HPDMA;Πρέπει να είναι HAPDMA;;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID;Model Id;ID modela;Modell-ID;Modell ID;;Modelio ID;Modèle Id;Id del modello;Μοντέλο ID;;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.degree_day.title;Degree Days;Graddage;Gradtage;Graaddagen;Stopinjski dnevi;Graddager;Graddagar;;Paros laipsniai ;Degrés jours;Gradi giorno ;Βαθμοημέρες;;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.dry_day.title;Dry Day Threshold;Tørkedage tærskel;Schwellenwert für trockene Tage;Drempelwaarde droge dag;Prag za suhi dan;Terskelverdi for tørre dager;Torrdag-tröskel;;Paros be kritulių slenkstis;Seuil de jour sec;Soglia del giorno di siccità;Κατώφλι άνυδρης ημέρας;;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT);Einddatum model (JJJJ-MM-DD);Končni datum modela (DD-MM-LLLL);Modellens sluttdato (ÅÅÅÅ-MM-DD);Slutdatum modell (ÅÅÅÅ-MM-DD);;Modelio pabaigos data (MMMM-MM-DD);Date de fin du modèle (AAAA-MM-JJ);Data fine Modello (AAAA-MM-GG);Ημερομηνία λήξης μοντέλου ( ΕΕΕΕ-ΜΜ-ΗΗ);;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.rain_threshold.title;Rainfall Threshold;Regntærskel;Schwellenwert für Niederschlag;Regenval Drempelwaarde;Prag padavin;Terskelverdi for nedbør;Nederbördströskel;;Lietaus riba;Seuil de pluviométrie;Soglia precipitazioni;Κατώφλι βροχόπτωσης;;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date/Biofix (YYYY-MM-DD);Model Startdato/Biofix (ÅÅÅÅ-MM-DD);Modell Startdatum/Biofix (JJJJ-MM-TT);Begindatum model/Biofix (JJJJ-MM-DD);Datum začetka modela/Biofix (DD-MM-LLLL);Modellens startdato/Biofix (ÅÅÅÅ-MM-DD);Startdatum modell/Biofix (ÅÅÅÅ-MM-DD);;Modelio pradžios data (MMMM-MM-DD);Date de début du modèle/Biofix (AAAA-MM-JJ);Data inizio modello/Biofix (AAAA-MM-GG);Ημερομηνία έναρξης μοντέλου/Biofix (ΕΕΕΕ-ΜΜ-ΗΗ);;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.properties.temp_threshold.title;Temperature Threshold;Temperaturtærskel;Temperatur-Schwellenwert;Temperatuur Drempelwaarde;Temperaturni prag;Terskelverdi for temperatur;Temperaturtröskel;;Temperatūros riba;Seuil de température;Soglia temperatura;Κατώφλι θερμοκρασίας;;;
adas.dss.0_0_4.models.HAPDMA.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für das EHS;Optionele parameters voor de BOS;Dodatni parametri za DSS;Valgfrie parametre for DSS;Valfria parametrar för DSS;;SPS pasirenkamieji parametrai;Paramètres optionnels pour l'OAD;Parametri opzionali per il DSS;Προαιρετικές παράμετροι για το DSS;;;
adas.dss.0_0_4.models.HAPDMA.name;Saddle Gall Midge Model;Sadelgalmyg Model;Sattelmücken-Modell;Tarwestengelgalmug;Model za sedlasto hržico;Modell for salgallmygg;Modell för sadelgallmygga;;Balninio gumbauodžio modelis;Modèle de cécidomyie;Modello moscerino equestre;Μοντέλο σκνίπας (Saddle Gall Midge);;;
adas.dss.0_0_4.models.HAPDMA.output.chart_groups.G1.title;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage;Cumulatieve graaddagen;Kumulativni stopinjski dnevi;Kumulative daggrader;Sammanlagda daggrader;;Suminiai paros oro temperatūros laipsniai ;Degrés-jours cumulés;Gradi giorno cumulati;Αθροιστικοί βαθμοί ημέρας;;;
adas.dss.0_0_4.models.HAPDMA.output.chart_heading;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage;Cumulatieve graaddagen;Kumulativni stopinjski dnevi;Kumulative daggrader;Sammanlagda daggrader;;Suminiai paros oro temperatūros laipsniai ;Degrés-jours cumulés;Gradi giorno cumulati;Αθροιστικοί βαθμοί ημέρας;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.Cumulative_DayDegrees.description;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage;Cumulatieve graaddagen;Kumulativni stopinjski dnevi;Kumulative daggrader;Sammanlagda daggrader;;Suminiai paros oro temperatūros laipsniai ;Degrés-jours cumulés;Gradi giorno cumulati;Αθροιστικοί βαθμοί ημέρας;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.Cumulative_DayDegrees.title;Cumulative day degrees;Kumulative graddage;Kumulative Gradtage;Cumulatieve graaddagen;Kumulativni stopinjski dnevi;Kumulative daggrader;Sammanlagda daggrader;;Suminiai paros oro temperatūros laipsniai ;Degrés-jours cumulés;Gradi giorno cumulati;Αθροιστικοί βαθμοί ημέρας;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.FirstThreshold.description;Estimated 50% emergence complete;50% estimeret fremkomst;Geschätzte 50% des Auftretens erreicht;Geschatte opkomst 50%;Ocenjena 50 % pojavnost;50 % estimert forekomst;Beräknad tidpunkt för 50% uppkomst;;Nustatyta, kad pasiektas 50 % išplitimas. ;L'émergence est terminée à environ 50 %.;Stimata 50% di comparsa completata;Εκτιμάται ότι έχει ολοκληρωθεί το 50% της εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.FirstThreshold.title;Estimated 50% emergence complete;50% estimeret fremkomst;Geschätzte 50% des Auftretens erreicht;Geschatte opkomst 50%;Ocenjena 50 % pojavnost;50 % estimert forekomst;Beräknad tidpunkt för 50% uppkomst;;Nustatyta, kad pasiektas 50 % išplitimas. ;L'émergence est terminée à environ 50 %.;Stimata 50% di comparsa completata;Εκτιμάται ότι έχει ολοκληρωθεί το 50% της εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.SecondThreshold.description;Estimated 90% emergence complete;90% estimeret fremkomst;Geschätzte 90% des Auftretens erreicht;Geschatte opkomst 90%;Ocenjena 90 % pojavnost;90 % estimert forekomst;Beräknad tidpunkt för 90% uppkomst;;Nustatyta, kad pasiektas 90 % išplitimas. ;L'émergence est terminée à environ 90 %.;Stimata 90% di comparsa completata;Εκτιμάται ότι έχει ολοκληρωθεί το 90% της εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.SecondThreshold.title;Estimated 90% emergence complete;90% estimeret fremkomst;Geschätzte 90% des Auftretens erreicht;Geschatte opkomst 90%;Ocenjena 50 % pojavnost;90 % estimert forekomst;Beräknad tidpunkt för 90% uppkomst;;Nustatyta, kad pasiektas 90 % išplitimas. ;L'émergence est terminée à environ 90 %.;Stimata 90% di comparsa completata;Εκτιμάται ότι έχει ολοκληρωθεί το 90% της εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.StartOfEmergenceThreshold.description;Estimated start of emergence;Estimeret start for fremkomst;Geschätzter Beginn des Auftretens;Geschat begin van opkomst;Ocenjeni začetek pojavljanja;Forventet start for forekomst;Beräknad tidpunkt för start av uppkomst;;Nustatyta plitimo pradžia;Début estimé de l'émergence;Data stimata inizio comparsa;Εκτιμώμενη έναρξη εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.StartOfEmergenceThreshold.title;Estimated start of emergence;Estimeret start for fremkomst;Geschätzter Beginn des Auftretens;Geschat begin van opkomst;Ocenjeni začetek pojavljanja;Forventet start for forekomst;Beräknad tidpunkt för start av uppkomst;;Nustatyta plitimo pradžia;Début estimé de l'émergence;Data stimata inizio comparsa;Εκτιμώμενη έναρξη εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.ThirdThreshold.description;Estimated end of emergence;Estimeret sluttidspunkt for fremkomst;Geschätztes Ende des Auftretens;Geschat einde opkomst;Ocenjeni konec pojavljanja;Forventet slutt av forekomst;Beräknad sluttidpunkt av uppkomst;;Nustatyta plitimo pabaiga;Fin estimée de l'émergence;Data stimata fine comparsa;Εκτιμώμενο τέλος της εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.result_parameters.ThirdThreshold.title;Estimated end of emergence;Estimeret sluttidspunkt for fremkomst;Geschätztes Ende des Auftretens;Geschat einde opkomst;Ocenjeni konec pojavljanja;Forventet slutt av forekomst;Beräknad sluttidpunkt av uppkomst;;Nustatyta plitimo pabaiga;Fin estimée de l'émergence;Data stimata fine comparsa;Εκτιμώμενο τέλος της εμφάνισης;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.0.explanation;;;;;;;;;;;;;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.0.recommended_action;;;;;;;;;;;;;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data.;Fehlende Daten.;Ontbrekende gegevens.;Manjkajoči podatki.;Manglende data;Data saknas;;Trūksta duomenų;Données manquantes.;Dati mancanti.;Λείπουν δεδομένα.;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.;Bekijk de foutmelding;Preglejte sporočilo o napaki.;Se feilmelding;Granska felmeddelande ;;Peržiūrėkite klaidos pranešimą.;Vérifier le message d'erreur.;Rivedere il messaggio di errore.;Αναθεώρηση μηνύματος σφάλματος.;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.2.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate low current risk of saddle gall midge emergence.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne lav aktuel risiko for fremkomst af sadelgalmyg.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass das Risiko des Auftretens der Sattelmücke derzeit gering ist.;Dit model verzamelt momenteel gegevens om uit te voeren. Op basis van de huidige beschikbare gegevens wijzen de modelresultaten op een laag risico op het verschijnen van galmuggen.;Ta model trenutno zbira podatke za delovanje. Na podlagi trenutno razpoložljivih podatkov rezultati modela kažejo, da je trenutno tveganje pojava sedlastih hržic nizko.;Modellen samler inn data. Basert på tilgjengelig data er det liten risiko for forekomst av salgallmygg.;Modellen samlar nu in data för att köras. Baserat på tillgängliga aktuella data indikerar modellresultaten för närvarande låg risk för förekomst av sadelgallmygga.;;Modelis šiuo metu renka duomenis, kad galėtų veikti. Remiantis dabartiniais turimais duomenimis, modelio rezultatai rodo žemą balninio gumbauodžio pasirodymo riziką.;Ce modèle recueille actuellement des données pour être utilisé. Sur la base des données actuellement disponibles, les résultats du modèle indiquent un faible risque actuel d'émergence de la cécidomyie.;Questo modello sta attualmente raccogliendo dati per essere eseguito. Sulla base dei dati attualmente disponibili, i risultati del modello indicano un basso rischio attuale di comparsa del moscerino equestre;Αυτό το μοντέλο συλλέγει επί του παρόντος δεδομένα για να τρέξει. Με βάση τα τρέχοντα διαθέσιμα δεδομένα, τα αποτελέσματα του μοντέλου υποδεικνύουν χαμηλό κίνδυνο εμφάνισης της σκνίπας.;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.2.recommended_action;This model runs January - May, requiring data from the start of January. The risk of emergence of saddle gall midge is currently low.  Emergence begins once 500 day degrees is exceeded, and ends after 1500 day degrees. The 'Emergence' chart indicates that emergence is either unlikely to have started, or is likely to be completed. ;"Denne model kører januar - maj og kræver data fra starten af januar. Risikoen for fremkomst af sadelgalmyg er i øjeblikket lav. Fremkomsten begynder, når 500 graddage er overskredet, og slutter efter 1500 graddage. Diagrammet ""Fremkomst"" angiver, at det enten er usandsynligt, at fremkomsten er startet eller sandsynligvis vil blive afsluttet.";"Dieses Modell läuft von Januar bis Mai und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Sattelmücke ist derzeit gering.  Das Auftreten beginnt, sobald 500 Gradtage überschritten sind, und endet nach 1500 Gradtagen. Das Diagramm ""Auftreten"" zeigt an, dass das Auftreten entweder noch nicht begonnen hat oder wahrscheinlich abgeschlossen ist. ";"Dit model loopt van januari tot mei, waarvoor gegevens vanaf begin januari nodig zijn. Het risico van het opduiken van tarwestengelgalmug is momenteel laag.  De opkomst begint zodra de 500 graaddagen worden overschreden en eindigt na 1500 graaddagen. De grafiek ""opkomst"" geeft aan dat het onwaarschijnlijk is dat de opkomst is begonnen, of dat deze waarschijnlijk is afgerond. ";"Ta model deluje od januarja do maja, zato so potrebni vremenski podatki od začetka januarja. Nevarnost pojava sedlaste hržice je trenutno nizka. Pojav sedlastih hržic se začne, ko je preseženih 500 dnevnih stopinj, in konča po 1500 dnevnih stopinjah. Graf ""Pojavljanje"" kaže, da se pojavljanje verjetno še ni začelo ali pa se bo verjetno končalo. ";Modellen kjører fra januar til mai, og trenger data fra starten av januar. Risikoen for forekomst av salgallmygg er for tiden lav. Forekomsten begynner etter at 500 graddager er passert, og slutter etter 1500 graddager. «Forekomst»-figuren viser at det enten er liten sannsynlig at forekomsten av salgallmygg har startet, eller at den trolig er passert.;"Denna model körs i januari - maj och kräver data från 1 januari. Risken för uppkomst av sadlegallmygga är i nuläget låg. Uppkomst börjar när 500 daggrader överskrids, och slutar efter efter 1500 daggrader. Diagrammet ""Uppkomst"" visar att start av uppkomst är osannolik eller att uppkomsten är avslutad.";;Šis modelis veikia sausio–gegužės mėnesiais. Naudojami nuo sausio pradžios surinkti duomenys. Balninio gumbauodžio pasirodymo rizika šiuo metu žema. Kenkėjas pradeda plisti efektyvių temperatūrų sumai perkopus 500 laipnių (C) ir pasibaigia pasiekus 1500 (C) laipsnių. „Pasirodymas“ diagrama rodo, kad kenkėjų plitimas nėra tikėtinas arba galimai yra pasibaigęs. ;Ce modèle fonctionne de janvier à mai, ce qui nécessite des données à partir de début janvier. Le risque d'émergence de la cécidomyie est actuellement faible.  L'émergence commence dès que les 500 degrés-jours sont dépassés, et se termine après 1500 degrés-jours. Le graphique 'Emergence' indique que l'émergence n'a probablement pas commencé ou qu'elle est probablement terminée. ;"Questo modello funziona da gennaio a maggio e richiede dati a partire dall'inizio di gennaio. Il rischio di comparsa del moscerino equestre è attualmente basso.  La comparsa inizia una volta superati i 500 gradi giorno e termina dopo i 1500 gradi giorno. Il grafico ""Comparsa"" indica che è improbabile che la comparsa sia iniziata o che sia probabilmente completata. ";"Αυτό το μοντέλο λειτουργεί από τον Ιανουάριο έως τον Μάιο, απαιτώντας δεδομένα από την αρχή του Ιανουαρίου. Ο κίνδυνος εμφάνισης της σκνίπας είναι επί του παρόντος χαμηλός.  Η εμφάνιση αρχίζει μόλις ξεπεραστούν οι 500 βαθμοί ημέρας και τελειώνει μετά από 1500 βαθμούς ημέρας. Το διάγραμμα ""Εμφάνιση"" υποδεικνύει ότι η εμφάνιση είναι είτε απίθανο να έχει αρχίσει είτε πιθανό να έχει ολοκληρωθεί.";;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.3.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate medium current risk of first saddle gall midge emergence.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne en middel risiko for fremkomst af første sadelgalmyg.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse auf ein mittleres Risiko des Auftretens der ersten Sattelmücke hin.;Dit model verzamelt momenteel gegevens om uit te voeren. Op basis van de huidige beschikbare gegevens wijzen de resultaten van het model op een gemiddeld risico op het verschijnen van de eerste tarwestengelgalmug.;Ta model trenutno zbira podatke za delovanje. Na podlagi trenutnih razpoložljivih podatkov rezultati modela kažejo na srednje tveganje za prvi pojav sedlaste hržice.;Modellen samler inn data. Basert på tilgjengelig data er det middels risiko for forekomst av salgallmygg.;Modellen samlar nu in data för att köras. Baserat på tillgängliga aktuella data indikerar modellresultaten för närvarande medelhög risk för förekomst av sadelgallmygga.;;Modelis šiuo metu renka duomenis, kad galėtų veikti. Remiantis dabartiniais turimais duomenimis, modelio rezultatai rodo vidutinę pirmųjų balninių gumbauodžių pasirodymo riziką.;Ce modèle recueille actuellement des données pour être utilisé. Sur la base des données actuellement disponibles, les résultats du modèle indiquent un risque actuel moyen d'émergence des premières cécidomyies.;Questo modello sta attualmente raccogliendo dati per essere eseguito. Sulla base dei dati attualmente disponibili, i risultati del modello indicano un rischio medio di comparsa del moscerino equestre;Αυτό το μοντέλο συλλέγει επί του παρόντος δεδομένα για να τρέξει. Με βάση τα τρέχοντα διαθέσιμα δεδομένα, τα αποτελέσματα του μοντέλου υποδηλώνουν μέτριο κίνδυνο πρώτης εμφάνισης της σκνίπας.;;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.3.recommended_action;This model runs January - May, requiring data from the start of January. The risk of emergence of saddle gall midge is currently medium.  The 'Emergence' chart indicates that more than 50% of saddle gall midge are now likely to have emerged, and 90% emergence is likely once 1024 day degrees have accumulated. Adult saddle gall midge are likely to be active in crops where they are present. Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. Any applications must be applied before larvae move under the leaf in order to have an effect.;Denne model kører januar - maj og kræver data fra starten af januar. Risikoen for fremkomst af sadelgalmyg er i øjeblikket medium. 'Fremkomst' diagrammet indikerer, at mere end 50% af sadelgalmyg nu sandsynligvis er dukket op, og 90% fremkomst er sandsynligt, når 1024 graddage er akkumuleret. Voksne sadelgalmyg vil sandsynligvis være aktive i afgrøder, hvor de er til stede. Overvåg aktivitet i marken i sårbare afgrøder, og anvend passende behandlinger efter behov. Eventuelle anvendelser skal udføres, før larver bevæger sig under bladet for at have en effekt.;"Dieses Modell läuft von Januar bis Mai und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Sattelmücke ist derzeit mittelhoch.  Das Diagramm ""Auftreten"" zeigt, dass mehr als 50 % der Sattelmücken jetzt wahrscheinlich aufgetaucht sind, und 90 % des Auftretens sind wahrscheinlich, wenn 1024 Gradtage erreicht sind. Adulte Sattelmücken sind in den Beständen, in denen sie vorkommen, wahrscheinlich aktiv. Überwachen Sie gefährdete Bestände auf Aktivität im Feld und wenden Sie je nach Bedarf geeignete Behandlungen an. Die Anwendungen müssen erfolgen, bevor sich die Larven unter dem Blatt verbergen, um eine Wirkung zu erzielen.";"Het model loopt van januari tot mei en vereist gegevens vanaf begin januari. Het risico op het verschijnen van tarwestengelgalmug is momenteel gemiddeld.  De grafiek ""Opkomst"" geeft aan dat meer dan 50% van de galmuggen nu waarschijnlijk is verschenen, en dat 90% waarschijnlijk verschenen is zodra de 1024 graaddagen zijn verstreken. Volwassen tarwestengelgalmuggen zijn waarschijnlijk actief in gewassen waar ze aanwezig zijn. Controleer kwetsbare gewassen op activiteit in het veld en pas naar behoefte passende behandelingen toe. Toepassingen moeten worden toegepast voordat de larven zich onder het blad begeven om effect te hebben.";"Ta model deluje od januarja do maja, zato so potrebni podatki od začetka januarja. Tveganje za pojav sedlaste hržice je trenutno srednje visoko.  Graf ""Pojavljanje"" kaže, da se bo zdaj verjetno pojavilo več kot 50 % sedlastih hržic, 90-odstotno pojavljanje pa je verjetno, ko se bo nabralo 1024 stopinjskih dni. Odrasli osebki sedlastih hržic bodo verjetno aktivni v posevkih, kjer so prisotni. Spremljajte občutljive posevke glede aktivnosti na polju in po potrebi uporabite ustrezna registrirana fitofarmacevtska sredstva. Da bi bila uporaba FFS učinkovita, je treba uporabiti sredstva, preden se ličinke premaknejo pod liste.";Modellen kjører fra januar til mai, og trenger data fra starten av januar. Risikoen for forekomst av salgallmygg er for tiden medium. «Forekomst»-figuren indikerer at mer enn 50 % av salgallmyggen har ankommet, og at 90 % trolig vil ha ankommet ved 1024 graddager. Voksne salgallmygg vil trolig være aktive i avlinger hvor de er til stede. Overvåk mottakelige avlinger og se etter aktivitet, og behandle ved behov. For å ha en effekt må behandlinger må påføres før larvene flytter seg inn under bladsliren.;"Denna model körs i januari - maj och kräver data från 1 januari. Risken för uppkomst av sadlegallmygga är i nuläget medelhög. Diagrammet ""Uppkomst"" visar att mera än 50% av sadelgallmyggorna nu troligtvis har kläckts, och 90% kläckning är trolig när 1024 daggrader uppnås. Vuxna sadelgallmyggor är troligtvis aktiva i grödor där de förekommer. Övervaka aktivitet i känsliga grödor, och utför lämplig bekämpning efter behov. Eventuella besprutningar skall utföras innan larverna förflyttar sig till bladens undersida för att få effekt.
";;Šis modelis veikia nuo sausio iki gegužės, todėl reikalingi duomenys nuo sausio pradžios. Balninių gumbauodžių pasirodymo rizika yra vidutinė. „Pasirodymas“ diagrama rodo, kad tikėtina jog 50 % balninių gumbauodžių jau išplitę. 90 % kenkėjų išplis, kai paros efektyvių temperatūrų suma pasieks 1024 laipsnius (C). Tikėtina, suaugę balniniai gumbauodžiai yra aktyvūs ten, kur jie yra aptinkami. Stebėkite pažeidžiamus pasėlius dėl kenkėjų aktyvumo ir pagal poreikį naudokite augalų apsaugos produktus. Siekiant efektyvios apsaugos, visi purškimai augalų apsaugos produktais turi būti atlikti iki lervutė prasiskverbia už lapalakščio.;Ce modèle fonctionne de janvier à mai, ce qui nécessite des données à partir de début janvier. Le risque d'émergence de la cécidomyie est actuellement moyen.  Le graphique 'Emergence' indique que plus de 50% des cécidomyies sont maintenant susceptibles d'avoir émergé, et 90% d'émergence est probable une fois que les 1024 degrés-jours se sont accumulés. Les cécidomyies adultes sont probablement actives dans les cultures où elles sont présentes. Surveillez les cultures vulnérables pour détecter toute activité dans les champs et appliquez les traitements appropriés en fonction des besoins. Toute application doit être effectuée avant que les larves ne se déplacent sous la feuille afin d'avoir un effet.;"Questo modello funziona da gennaio a maggio e richiede dati a partire dall'inizio di gennaio. Il rischio di comparsa del moscerino equestre è attualmente medio.  Il grafico ""Comparsa"" indica che è probabile che oltre il 50% dei moscerini sia emerso e che la comparsa sia del 90% una volta accumulati 1024 gradi giorno. È probabile che gli adulti di moscerino siano attivi nelle colture in cui sono presenti. Monitorare le colture vulnerabili per verificare l'attività in campo e applicare trattamenti adeguati in base alle necessità. Qualsiasi applicazione deve essere effettuata prima che le larve si spostino sotto la foglia per avere effetto.";"Αυτό το μοντέλο λειτουργεί από τον Ιανουάριο έως τον Μάιο, απαιτώντας δεδομένα από την αρχή του Ιανουαρίου. Ο κίνδυνος εμφάνισης της σκνίπας είναι επί του παρόντος μέτριος.  Το διάγραμμα ""Εμφάνιση"" υποδεικνύει ότι πάνω από το 50% των σκνιπών είναι τώρα πιθανό να έχουν εμφανιστεί, ενώ η εμφάνιση του 90% είναι πιθανή μόλις συγκεντρωθούν 1024 βαθμοί ημέρας. Οι ενήλικες σκνίπες είναι πιθανό να είναι ενεργές στις καλλιέργειες όπου υπάρχουν. Παρακολουθήστε τις ευάλωτες καλλιέργειες για δραστηριότητα στον αγρό και εφαρμόστε κατάλληλες επεμβάσεις ανάλογα με τις ανάγκες. Οποιαδήποτε εφαρμογή πρέπει να εφαρμοστεί πριν οι προνύμφες μετακινηθούν κάτω από το φύλλο για να έχουν αποτέλεσμα.";;;
adas.dss.0_0_4.models.HAPDMA.output.warning_status_interpretation.4.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate that emergence of saddle gall midge has started.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne, at fremkomsten af sadelgalmyg er startet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass das Auftreten der Sattelmücke begonnen hat.;Dit model verzamelt momenteel gegevens om te verwerken. Op basis van de huidige beschikbare gegevens geven de modelresultaten aan dat het verschijnen van de tarwestengelgalmug is begonnen.;Ta model trenutno zbira podatke za delovanje. Na podlagi trenutno razpoložljivih podatkov rezultati modela kažejo, da se je pojav sedlastih hržic začel.;Modellen samler inn data. Basert på tilgjengelig data har forekomsten av salgallmygg trolig startet.;Modellen samlar nu in data för att köras. Baserat på tillgängliga aktuella data indikerar modellresultaten för närvarande att kläckning av sadelgallmyggor har startat.;;Modelis šiuo metu renka duomenis, kad galėtų veikti. Remiantis dabartiniais turimais duomenimis, modelio rezultatai rodo prasidėjusį balninių gumbauodžių plitimą pasėliuose.;Ce modèle est en train de collecter des données pour fonctionner. Sur la base des données actuellement disponibles, les résultats du modèle indiquent que l'émergence de la cécidomyie a commencé.;Questo modello sta raccogliendo dati per essere esguito. Sulla base dei dati attualmente disponibili, il modello risulta indicare che l'emergenza per il moscerino equestre è iniziata.;Αυτό το μοντέλο συλλέγει επί του παρόντος δεδομένα για να τρέξει. Με βάση τα τρέχοντα διαθέσιμα δεδομένα, τα αποτελέσματα του μοντέλου δείχνουν ότι έχει αρχίσει η εμφάνιση της σκνίπας.;;;
